# default s1 SPL
freq,value
35,75
36.92,76.8
38.94,78.7
41.07,80.5
43.33,82.3
45.7,84.1
48.2,85.8
50.84,87.5
53.63,89.1
56.57,90.6
59.67,91.9
62.94,93
66.39,94
70.02,94.7
73.86,95.2
77.91,95.5
82.18,95.6
86.68,95.6
91.43,95.4
96.44,95.1
101.72,94.5
107.3,93.8
113.18,92.9
119.38,91.8
125.92,90.4
132.82,88.8
140.1,86.9
147.77,84.7
155.87,82.4
164.41,80.1
173.42,77.8
182.92,75.4
192.95,73
203.52,70.5
214.67,67.8
226.43,64.9
238.84,61.9
251.93,59
265.73,56.2
280.29,53.6
295.65,51.1
311.85,48.5
328.94,45.7
346.96,42.8
365.97,40.1
386.03,37.7
407.18,35.4
429.49,32.9
453.02,30
477.85,27.5
504.03,25.2
531.65,22.5
560.78,19.4
591.51,16.7
623.92,14
658.1,10.6
694.16,7.7
732.2,4.9
772.32,1.8
814.64,-0.5
859.28,-3.2
906.36,-4.6
956.02,-7.1
1008.41,-9.6
1063.66,-12.6
1121.95,-15.5
1183.42,-18.7
1248.27,-21.1
1316.66,-23.3
1388.81,-25.4
1464.91,-27.4
1545.18,-30
1629.84,-33
1719.15,-35.5
1813.35,-37.6
1912.71,-40.2
2017.52,-43.9
2128.06,-47.9
2244.67,-50.8
2367.66,-53.4
2497.4,-57.2
2634.24,-60.6
2778.58,-61.5
2930.83,-63.4
3091.43,-65.3
3260.82,-66
3439.49,-68.1
3627.96,-69.3
3826.75,-70.6
4036.43,-72.4
4257.6,-73.3
4490.9,-75.2
4736.97,-76.2
4996.53,-77.8
5270.31,-79.4
5559.09,-80.2
5863.7,-82.2
6185,-83.5
6523.9,-84.5
6881.37,-86
7258.43,-87.7
7656.15,-89.2
8075.66,-90.6
8518.16,-92
8984.91,-93.4
9477.23,-94.8
9996.53,-96.1
10544.28,-97.1
11122.05,-98.5
11731.47,-100.3
12374.29,-101.4
13052.33,-103
13767.52,-104.1
14521.9,-105.8
15317.62,-107.1
16156.94,-108.3
17042.24,-109.6
17976.06,-111.1
18961.04,-112.6
20000,-114.1
