# default s1 SPL 6x
freq,value
35,84.3
36.92,86
38.94,87.8
41.07,89.5
43.33,91.3
45.7,93
48.2,94.7
50.84,96.4
53.63,98
56.57,99.5
59.67,101
62.94,102.3
66.39,103.6
70.02,104.6
73.86,105.4
77.91,106
82.18,106.4
86.68,106.5
91.43,106.5
96.44,106.3
101.72,106
107.3,105.5
113.18,104.9
119.38,104
125.92,103
132.82,101.8
140.1,100.4
147.77,98.9
155.87,97.2
164.41,95.2
173.42,93.1
182.92,90.7
192.95,88.1
203.52,85.5
214.67,82.8
226.43,80.1
238.84,77.6
251.93,75.1
265.73,72.7
280.29,70.1
295.65,67.3
311.85,64.2
328.94,61.2
346.96,58.2
365.97,55.5
386.03,52.7
407.18,49.7
429.49,46.5
453.02,43.2
477.85,40.4
504.03,37.8
531.65,34.9
560.78,31.9
591.51,29.5
623.92,27.3
658.1,24.8
694.16,22.2
732.2,20
772.32,17.1
814.64,14
859.28,11
906.36,8.2
956.02,5.4
1008.41,2.6
1063.66,0.4
1121.95,-1.7
1183.42,-3.7
1248.27,-6.5
1316.66,-9.4
1388.81,-12.7
1464.91,-15.2
1545.18,-16.8
1629.84,-18.5
1719.15,-21
1813.35,-24.5
1912.71,-27.9
2017.52,-30.4
2128.06,-33.1
2244.67,-37.1
2367.66,-41.1
2497.4,-43.4
2634.24,-46.2
2778.58,-50.2
2930.83,-52.5
3091.43,-53.9
3260.82,-56.3
3439.49,-56.9
3627.96,-58.7
3826.75,-60.2
4036.43,-61.2
4257.6,-63.3
4490.9,-64.1
4736.97,-65.9
4996.53,-67.2
5270.31,-68.3
5559.09,-70.4
5863.7,-71.1
6185,-72.5
6523.9,-74.6
6881.37,-75.9
7258.43,-76.8
7656.15,-78
8075.66,-79.3
8518.16,-80.7
8984.91,-82.1
9477.23,-83.5
9996.53,-85.1
10544.28,-86.9
11122.05,-88.3
11731.47,-89.2
12374.29,-91.1
13052.33,-92.1
13767.52,-93.9
14521.9,-94.8
15317.62,-96.4
16156.94,-98
17042.24,-99.4
17976.06,-100.8
18961.04,-102
20000,-103.2
