# default s1 SPL
freq,value
35,69.4
36.92,71.2
38.94,73
41.07,74.9
43.33,76.7
45.7,78.5
48.2,80.3
50.84,82.1
53.63,83.8
56.57,85.5
59.67,87.1
62.94,88.6
66.39,89.9
70.02,91.1
73.86,92.1
77.91,92.9
82.18,93.4
86.68,93.8
91.43,94
96.44,94
101.72,93.9
107.3,93.6
113.18,93.1
119.38,92.5
125.92,91.7
132.82,90.7
140.1,89.5
147.77,88.2
155.87,86.6
164.41,84.9
173.42,82.9
182.92,80.7
192.95,78.3
203.52,75.8
214.67,73.3
226.43,70.8
238.84,68.4
251.93,66
265.73,63.7
280.29,61.2
295.65,58.5
311.85,55.5
328.94,52.5
346.96,49.7
365.97,47
386.03,44.3
407.18,41.4
429.49,38.2
453.02,35
477.85,32.2
504.03,29.6
531.65,26.7
560.78,23.8
591.51,21.4
623.92,19.3
658.1,16.7
694.16,14.2
732.2,12
772.32,9.1
814.64,6
859.28,3.1
906.36,0.3
956.02,-2.5
1008.41,-5.3
1063.66,-7.5
1121.95,-9.6
1183.42,-11.6
1248.27,-14.3
1316.66,-17.2
1388.81,-20.5
1464.91,-23
1545.18,-24.6
1629.84,-26.3
1719.15,-28.8
1813.35,-32.3
1912.71,-35.7
2017.52,-38.2
2128.06,-40.9
2244.67,-44.9
2367.66,-48.9
2497.4,-51.2
2634.24,-54
2778.58,-58
2930.83,-60.3
3091.43,-61.7
3260.82,-64.1
3439.49,-64.7
3627.96,-66.5
3826.75,-68
4036.43,-69
4257.6,-71.1
4490.9,-71.8
4736.97,-73.7
4996.53,-75
5270.31,-76.1
5559.09,-78.2
5863.7,-78.9
6185,-80.3
6523.9,-82.4
6881.37,-83.7
7258.43,-84.6
7656.15,-85.8
8075.66,-87.1
8518.16,-88.5
8984.91,-89.9
9477.23,-91.3
9996.53,-92.9
10544.28,-94.7
11122.05,-96.1
11731.47,-96.9
12374.29,-98.9
13052.33,-99.9
13767.52,-101.7
14521.9,-102.6
15317.62,-104.1
16156.94,-105.8
17042.24,-107.2
17976.06,-108.6
18961.04,-109.8
20000,-110.9
