# default s1 SPL
freq,value
35,69.6
36.92,71.4
38.94,73.3
41.07,75.2
43.33,77
45.7,78.9
48.2,80.7
50.84,82.6
53.63,84.4
56.57,86.1
59.67,87.8
62.94,89.5
66.39,91
70.02,92.4
73.86,93.6
77.91,94.6
82.18,95.4
86.68,96
91.43,96.4
96.44,96.6
101.72,96.8
107.3,96.8
113.18,96.7
119.38,96.5
125.92,96.2
132.82,95.7
140.1,95.1
147.77,94.3
155.87,93.3
164.41,92.1
173.42,90.7
182.92,89.2
192.95,87.4
203.52,85.3
214.67,83
226.43,80.5
238.84,77.8
251.93,75
265.73,72.3
280.29,69.6
295.65,67
311.85,64.5
328.94,62.1
346.96,59.5
365.97,56.9
386.03,54.2
407.18,51.6
429.49,49.2
453.02,47
477.85,44.8
504.03,42.3
531.65,39.5
560.78,36.6
591.51,33.9
623.92,31.1
658.1,27.7
694.16,24.3
732.2,21.3
772.32,18.6
814.64,15.7
859.28,13.4
906.36,12.2
956.02,9.8
1008.41,7.3
1063.66,4.5
1121.95,0.9
1183.42,-2.2
1248.27,-5.1
1316.66,-7
1388.81,-8.8
1464.91,-10.7
1545.18,-13.8
1629.84,-17
1719.15,-19.8
1813.35,-21.6
1912.71,-23.7
2017.52,-27.5
2128.06,-31.9
2244.67,-34.6
2367.66,-36.7
2497.4,-40.6
2634.24,-44.2
2778.58,-45.9
2930.83,-49.2
3091.43,-53
3260.82,-54.5
3439.49,-58.1
3627.96,-60.8
3826.75,-62
4036.43,-64.2
4257.6,-64.6
4490.9,-67
4736.97,-67.5
4996.53,-69.4
5270.31,-70.9
5559.09,-71.6
5863.7,-73.9
6185,-75.1
6523.9,-75.8
6881.37,-77.5
7258.43,-79.4
7656.15,-81
8075.66,-82.3
8518.16,-83.6
8984.91,-85.1
9477.23,-86.5
9996.53,-87.7
10544.28,-88.7
11122.05,-89.9
11731.47,-92
12374.29,-92.9
13052.33,-94.5
13767.52,-95.6
14521.9,-97.5
15317.62,-98.6
16156.94,-99.7
17042.24,-101.1
17976.06,-102.5
18961.04,-104
20000,-105.8
