# default s1 power compression
freq,value
35,75
36.92,76.8
38.94,78.5
41.07,80.2
43.33,81.8
45.7,83.3
48.2,84.8
50.84,86.1
53.63,87.2
56.57,88.2
59.67,88.9
62.94,89.4
66.39,89.7
70.02,89.9
73.86,89.8
77.91,89.6
82.18,89.3
86.68,88.8
91.43,88.1
96.44,87.2
101.72,86.1
107.3,84.8
113.18,83.1
119.38,81.2
125.92,79.3
132.82,77.3
140.1,75.2
147.77,73.1
155.87,70.9
164.41,68.6
173.42,66.2
182.92,63.5
192.95,60.8
203.52,58
214.67,55.4
226.43,53
238.84,50.7
251.93,48.3
265.73,45.7
280.29,42.9
295.65,40
311.85,37.2
328.94,34.8
346.96,32.1
365.97,29
386.03,25.8
407.18,22.9
429.49,20.2
453.02,17.1
477.85,13.9
504.03,11.4
531.65,8.9
560.78,6.1
591.51,3.8
623.92,1.6
658.1,-1.1
694.16,-3.5
732.2,-6.6
772.32,-9.2
814.64,-12.4
859.28,-15.5
906.36,-18.3
956.02,-20.5
1008.41,-22.8
1063.66,-24.8
1121.95,-27.7
1183.42,-30.9
1248.27,-33.9
1316.66,-36.3
1388.81,-38.3
1464.91,-40.5
1545.18,-43.7
1629.84,-47.4
1719.15,-50.4
1813.35,-52.6
1912.71,-55.7
2017.52,-59.5
2128.06,-62.1
2244.67,-64.3
2367.66,-67.2
2497.4,-68.8
2634.24,-69.3
2778.58,-71.7
2930.83,-72.6
3091.43,-73.8
3260.82,-76
3439.49,-76.4
3627.96,-78.8
3826.75,-79.2
4036.43,-81.6
4257.6,-82.2
4490.9,-83.9
4736.97,-85.7
4996.53,-86.3
5270.31,-88.1
5559.09,-89.9
5863.7,-90.9
6185,-92
6523.9,-93.3
6881.37,-94.7
7258.43,-96.2
7656.15,-97.5
8075.66,-98.8
8518.16,-100.3
8984.91,-102.1
9477.23,-103.7
9996.53,-104.5
10544.28,-106.3
11122.05,-107.4
11731.47,-109.1
12374.29,-110.1
13052.33,-111.7
13767.52,-113.3
14521.9,-114.7
15317.62,-116.1
16156.94,-117.3
17042.24,-118.5
17976.06,-120.2
18961.04,-121.3
20000,-123
