# default s1 SPL
freq,value
35,60.9
36.92,62.8
38.94,64.6
41.07,66.4
43.33,68.3
45.7,70.1
48.2,71.9
50.84,73.7
53.63,75.6
56.57,77.4
59.67,79.2
62.94,81
66.39,82.7
70.02,84.5
73.86,86.2
77.91,87.8
82.18,89.3
86.68,90.7
91.43,91.9
96.44,93
101.72,93.8
107.3,94.4
113.18,94.8
119.38,95
125.92,95.1
132.82,95
140.1,94.7
147.77,94.2
155.87,93.5
164.41,92.6
173.42,91.6
182.92,90.4
192.95,89
203.52,87.4
214.67,85.5
226.43,83.4
238.84,81
251.93,78.6
265.73,76
280.29,73.5
295.65,71
311.85,68.4
328.94,65.8
346.96,63
365.97,59.9
386.03,56.6
407.18,53.4
429.49,50.4
453.02,47.6
477.85,45
504.03,42.4
531.65,39.8
560.78,37.3
591.51,35.2
623.92,33.1
658.1,30.6
694.16,27.5
732.2,24.5
772.32,22.1
814.64,18.6
859.28,15.5
906.36,13.3
956.02,11.2
1008.41,9.3
1063.66,7.3
1121.95,4.1
1183.42,0.9
1248.27,-2.1
1316.66,-4
1388.81,-5.4
1464.91,-7.5
1545.18,-11.2
1629.84,-15.1
1719.15,-18
1813.35,-20.1
1912.71,-23.8
2017.52,-28.2
2128.06,-30.5
2244.67,-32.6
2367.66,-36.8
2497.4,-39.5
2634.24,-41.3
2778.58,-45.6
2930.83,-47.5
3091.43,-50.5
3260.82,-53.9
3439.49,-55.8
3627.96,-59.6
3826.75,-60.5
4036.43,-62.8
4257.6,-63.7
4490.9,-64.9
4736.97,-67.2
4996.53,-67.6
5270.31,-69.1
5559.09,-71.3
5863.7,-72.5
6185,-73.3
6523.9,-74.4
6881.37,-75.9
7258.43,-77.3
7656.15,-78.6
8075.66,-80
8518.16,-81.7
8984.91,-83.6
9477.23,-85
9996.53,-85.7
10544.28,-87.8
11122.05,-88.6
11731.47,-90.6
12374.29,-91.3
13052.33,-92.9
13767.52,-94.6
14521.9,-96.1
15317.62,-97.4
16156.94,-98.5
17042.24,-99.7
17976.06,-101.7
18961.04,-102.5
20000,-104.3
