# default rew SPL
freq,value
35,73.4
36.92,75.6
38.94,77.5
41.07,78.8
43.33,81
45.7,82.4
48.2,84.1
50.84,86.2
53.63,87.9
56.57,89.2
59.67,91.1
62.94,92.2
66.39,93.5
70.02,94.9
73.86,95.5
77.91,96.6
82.18,97
86.68,97
91.43,97.7
96.44,97.3
101.72,97.4
107.3,96.8
113.18,96.4
119.38,95.5
125.92,94.6
132.82,93.3
140.1,92.3
147.77,90.8
155.87,88.8
164.41,86.2
173.42,84
182.92,81.8
192.95,79.4
203.52,76.6
214.67,74.3
226.43,72
238.84,69.5
251.93,66.7
265.73,63.8
280.29,61.1
295.65,58.1
311.85,55.7
328.94,53.1
346.96,50.5
365.97,48.1
386.03,45.3
407.18,42.9
429.49,40.5
453.02,37.8
477.85,35.2
504.03,32
531.65,28.9
560.78,26.1
591.51,23.7
623.92,20.2
658.1,17.1
694.16,14.7
732.2,12.2
772.32,10.5
814.64,8
859.28,5.5
906.36,2.5
956.02,-0.3
1008.41,-3.6
1063.66,-6
1121.95,-8.4
1183.42,-10.7
1248.27,-12.6
1316.66,-15.7
1388.81,-18.3
1464.91,-21
1545.18,-23.7
1629.84,-25.8
1719.15,-29.6
1813.35,-33.2
1912.71,-35.9
2017.52,-38.9
2128.06,-41.9
2244.67,-45.2
2367.66,-47.3
2497.4,-50.7
2634.24,-54.1
2778.58,-56.1
2930.83,-59.3
3091.43,-60.8
3260.82,-62.2
3439.49,-63.6
3627.96,-64.4
3826.75,-66.5
4036.43,-67.3
4257.6,-69.3
4490.9,-70.7
4736.97,-71.9
4996.53,-73.7
5270.31,-74.9
5559.09,-75.8
5863.7,-77.2
6185,-78.9
6523.9,-80.3
6881.37,-82
7258.43,-83.2
7656.15,-84.8
8075.66,-86.2
8518.16,-87.2
8984.91,-88.4
9477.23,-90.2
9996.53,-91.4
10544.28,-92.6
11122.05,-94.2
11731.47,-95.3
12374.29,-97.3
13052.33,-98.3
13767.52,-99.7
14521.9,-101.2
15317.62,-102.6
16156.94,-104.3
17042.24,-105.6
17976.06,-106.6
18961.04,-108.4
20000,-109.7
