# default s1 SPL
freq,value
35,72.3
36.92,74.2
38.94,76.1
41.07,77.9
43.33,79.8
45.7,81.6
48.2,83.4
50.84,85.2
53.63,87
56.57,88.7
59.67,90.3
62.94,91.9
66.39,93.3
70.02,94.5
73.86,95.5
77.91,96.3
82.18,96.9
86.68,97.2
91.43,97.4
96.44,97.4
101.72,97.2
107.3,96.9
113.18,96.4
119.38,95.6
125.92,94.7
132.82,93.5
140.1,92.1
147.77,90.7
155.87,88.7
164.41,86.5
173.42,84.1
182.92,81.7
192.95,79.2
203.52,76.8
214.67,74.4
226.43,71.9
238.84,69.3
251.93,66.6
265.73,63.8
280.29,60.9
295.65,58.1
311.85,55.5
328.94,53.1
346.96,50.8
365.97,48.3
386.03,45.5
407.18,42.7
429.49,40.2
453.02,37.9
477.85,35.2
504.03,32.1
531.65,29.1
560.78,26.4
591.51,23.5
623.92,20.2
658.1,17.4
694.16,15
732.2,12.2
772.32,10.4
814.64,8.2
859.28,5.4
906.36,2.8
956.02,-0.4
1008.41,-3.4
1063.66,-6.1
1121.95,-8.4
1183.42,-10.5
1248.27,-12.6
1316.66,-15.5
1388.81,-18.3
1464.91,-21.1
1545.18,-23.5
1629.84,-26
1719.15,-29.4
1813.35,-33.2
1912.71,-36.1
2017.52,-38.7
2128.06,-42.2
2244.67,-45.5
2367.66,-47.6
2497.4,-50.7
2634.24,-54
2778.58,-56.2
2930.83,-59.5
3091.43,-60.7
3260.82,-62
3439.49,-63.8
3627.96,-64.6
3826.75,-66.6
4036.43,-67.6
4257.6,-69.2
4490.9,-70.8
4736.97,-71.6
4996.53,-73.5
5270.31,-74.9
5559.09,-75.8
5863.7,-77.3
6185,-79
6523.9,-80.6
6881.37,-82
7258.43,-83.3
7656.15,-84.8
8075.66,-86.1
8518.16,-87.3
8984.91,-88.4
9477.23,-89.9
9996.53,-91.6
10544.28,-92.6
11122.05,-94.3
11731.47,-95.4
12374.29,-97.1
13052.33,-98.5
13767.52,-99.7
14521.9,-101
15317.62,-102.4
16156.94,-104
17042.24,-105.5
17976.06,-106.6
18961.04,-108.2
20000,-109.5
