# alt-18s hr SPL
freq,value
35,61.8
36.92,63.7
38.94,65.5
41.07,67.3
43.33,69.2
45.7,71
48.2,72.8
50.84,74.7
53.63,76.5
56.57,78.3
59.67,80.1
62.94,81.9
66.39,83.7
70.02,85.5
73.86,87.2
77.91,88.9
82.18,90.5
86.68,92
91.43,93.4
96.44,94.6
101.72,95.6
107.3,96.4
113.18,97
119.38,97.4
125.92,97.6
132.82,97.6
140.1,97.4
147.77,97.1
155.87,96.6
164.41,95.9
173.42,95
182.92,93.8
192.95,92.6
203.52,91.2
214.67,89.5
226.43,87.7
238.84,85.6
251.93,83.3
265.73,80.9
280.29,78.4
295.65,75.8
311.85,73.4
328.94,70.9
346.96,68.4
365.97,65.9
386.03,63.1
407.18,60.1
429.49,57
453.02,53.9
477.85,51.1
504.03,48.4
531.65,45.8
560.78,43
591.51,40.2
623.92,37.7
658.1,35.5
694.16,33.1
732.2,30.2
772.32,27.9
814.64,25.1
859.28,22.1
906.36,19
956.02,16.6
1008.41,14.5
1063.66,12.1
1121.95,10
1183.42,7.1
1248.27,4.1
1316.66,1.7
1388.81,-0.5
1464.91,-2.2
1545.18,-5.2
1629.84,-8.8
1719.15,-12.4
1813.35,-15.2
1912.71,-18
2017.52,-21.9
2128.06,-25.2
2244.67,-27.3
2367.66,-30.5
2497.4,-34
2634.24,-36.1
2778.58,-39.4
2930.83,-42.4
3091.43,-44.6
3260.82,-48.2
3439.49,-50.1
3627.96,-53.7
3826.75,-55.8
4036.43,-58.8
4257.6,-59.6
4490.9,-61.4
4736.97,-62.9
4996.53,-63.7
5270.31,-65.6
5559.09,-67.2
5863.7,-68.2
6185,-69.3
6523.9,-70.8
6881.37,-72.3
7258.43,-73.7
7656.15,-75.1
8075.66,-76.4
8518.16,-77.7
8984.91,-79.4
9477.23,-81
9996.53,-82.1
10544.28,-83.6
11122.05,-85
11731.47,-86.4
12374.29,-87.5
13052.33,-89.2
13767.52,-90.7
14521.9,-92.1
15317.62,-93.5
16156.94,-94.8
17042.24,-95.9
17976.06,-97.6
18961.04,-98.7
20000,-100.4
