# alt-18s rew SPL
freq,value
35,64.2
36.92,65.6
38.94,67.5
41.07,69.8
43.33,71.2
45.7,73.2
48.2,75.3
50.84,77.1
53.63,78.5
56.57,80.2
59.67,82.5
62.94,83.8
66.39,85.8
70.02,87.2
73.86,89.1
77.91,91.1
82.18,92.6
86.68,93.9
91.43,95.4
96.44,96.1
101.72,97.2
107.3,98.1
113.18,98.5
119.38,99
125.92,98.9
132.82,98.9
140.1,98.9
147.77,98.3
155.87,97.7
164.41,97
173.42,96
182.92,94.4
192.95,92.4
203.52,91.2
214.67,89.4
226.43,86.8
238.84,85.1
251.93,82.5
265.73,79.9
280.29,77.4
295.65,74.9
311.85,72.2
328.94,69.5
346.96,67
365.97,65
386.03,62.7
407.18,60.1
429.49,58
453.02,55.3
477.85,52.4
504.03,49.6
531.65,46.9
560.78,44.1
591.51,40.4
623.92,36.8
658.1,34.2
694.16,31.9
732.2,29.4
772.32,27.3
814.64,25.6
859.28,23.5
906.36,20.6
956.02,16.9
1008.41,13.9
1063.66,11.1
1121.95,9.1
1183.42,7.6
1248.27,5.4
1316.66,3
1388.81,-0.4
1464.91,-3.4
1545.18,-5.5
1629.84,-7.4
1719.15,-11.5
1813.35,-16
1912.71,-18.9
2017.52,-21.1
2128.06,-24.6
2244.67,-28.4
2367.66,-30.2
2497.4,-33
2634.24,-37.2
2778.58,-38.5
2930.83,-42.5
3091.43,-45.1
3260.82,-47.4
3439.49,-51.2
3627.96,-52.7
3826.75,-56.4
4036.43,-57.9
4257.6,-59.7
4490.9,-61.6
4736.97,-62.3
4996.53,-64.5
5270.31,-65.6
5559.09,-66.4
5863.7,-68
6185,-70.2
6523.9,-71.4
6881.37,-72.9
7258.43,-74.5
7656.15,-75.7
8075.66,-76.9
8518.16,-78.4
8984.91,-79.1
9477.23,-80.5
9996.53,-82.8
10544.28,-83
11122.05,-85.1
11731.47,-86.1
12374.29,-88.1
13052.33,-89.1
13767.52,-90.3
14521.9,-91.6
15317.62,-93.2
16156.94,-94.8
17042.24,-96.3
17976.06,-97.5
18961.04,-99.3
20000,-99.9
