# default rew SPL
freq,value
35,97.5
36.92,97.7
38.94,98.3
41.07,98.7
43.33,99
45.7,99.3
48.2,98.9
50.84,99.6
53.63,100
56.57,100.7
59.67,101.1
62.94,102
66.39,102.3
70.02,102.6
73.86,102.5
77.91,102.6
82.18,102.8
86.68,103
91.43,102.8
96.44,103.4
101.72,103.2
107.3,103.3
113.18,102.9
119.38,103
125.92,102.9
132.82,102.8
140.1,102.9
147.77,103
155.87,103.2
164.41,103
173.42,102.7
182.92,102.4
192.95,102.2
203.52,101.9
214.67,102.3
226.43,102.3
238.84,102
251.93,102.6
265.73,102.2
280.29,102.6
295.65,102.2
311.85,102.3
328.94,102.8
346.96,103.4
365.97,103.4
386.03,103.6
407.18,104
429.49,104.2
453.02,105.1
477.85,105.4
504.03,104.9
531.65,105
560.78,104.8
591.51,104.7
623.92,104.2
658.1,103.7
694.16,103.2
732.2,103.4
772.32,103.5
814.64,103.6
859.28,104.8
906.36,105.8
956.02,106.1
1008.41,105.7
1063.66,105.8
1121.95,104.7
1183.42,104.7
1248.27,104.8
1316.66,106
1388.81,106.9
1464.91,107.1
1545.18,106.3
1629.84,106.2
1719.15,106.5
1813.35,107.9
1912.71,107.6
2017.52,105.9
2128.06,104.4
2244.67,104.5
2367.66,104.4
2497.4,102
2634.24,101.4
2778.58,101.7
2930.83,99.8
3091.43,98.3
3260.82,97.9
3439.49,95.9
3627.96,95.2
3826.75,93.5
4036.43,92.2
4257.6,91.4
4490.9,89.2
4736.97,88.3
4996.53,87
5270.31,84.8
5559.09,84.8
5863.7,82.8
6185,81.1
6523.9,80.4
6881.37,79.1
7258.43,77.1
7656.15,75.2
8075.66,73.7
8518.16,72.3
8984.91,71.3
9477.23,69.7
9996.53,68.9
10544.28,67.6
11122.05,66.2
11731.47,64.2
12374.29,63.8
13052.33,61.7
13767.52,60.6
14521.9,59.1
15317.62,57.5
16156.94,56.7
17042.24,55.4
17976.06,53.9
18961.04,52
20000,50.6
