# default s1 SPL
freq,value
35,96.8
36.92,97.4
38.94,98
41.07,98.5
43.33,98.8
45.7,99
48.2,99.2
50.84,99.5
53.63,100
56.57,100.7
59.67,101.4
62.94,101.9
66.39,102.3
70.02,102.5
73.86,102.7
77.91,102.8
82.18,102.9
86.68,103
91.43,103
96.44,103.1
101.72,103.1
107.3,103.1
113.18,103.1
119.38,103.1
125.92,103
132.82,102.9
140.1,103.1
147.77,103.1
155.87,103.1
164.41,103.1
173.42,102.9
182.92,102.6
192.95,102.3
203.52,102.1
214.67,102
226.43,102.1
238.84,102.3
251.93,102.5
265.73,102.5
280.29,102.4
295.65,102.3
311.85,102.3
328.94,102.6
346.96,103.1
365.97,103.6
386.03,103.7
407.18,103.8
429.49,104.2
453.02,104.9
477.85,105.1
504.03,104.9
531.65,104.9
560.78,105.1
591.51,104.6
623.92,104
658.1,103.9
694.16,103.5
732.2,103.2
772.32,103.7
814.64,103.8
859.28,104.6
906.36,105.7
956.02,106.2
1008.41,106
1063.66,105.6
1121.95,104.8
1183.42,104.8
1248.27,105
1316.66,106.1
1388.81,107.1
1464.91,107.2
1545.18,106.6
1629.84,106.2
1719.15,106.8
1813.35,107.8
1912.71,107.7
2017.52,106
2128.06,104.6
2244.67,104.7
2367.66,104.3
2497.4,102.3
2634.24,101.3
2778.58,101.5
2930.83,99.6
3091.43,98.1
3260.82,98.1
3439.49,95.7
3627.96,95.2
3826.75,93.6
4036.43,92.2
4257.6,91.2
4490.9,89.4
4736.97,88.3
4996.53,87.1
5270.31,85
5559.09,84.7
5863.7,82.5
6185,80.9
6523.9,80.3
6881.37,79
7258.43,77.1
7656.15,75.4
8075.66,73.9
8518.16,72.5
8984.91,71.2
9477.23,69.9
9996.53,68.8
10544.28,67.8
11122.05,66.2
11731.47,64.3
12374.29,63.6
13052.33,61.6
13767.52,60.8
14521.9,58.8
15317.62,57.6
16156.94,56.5
17042.24,55.2
17976.06,53.7
18961.04,52.1
20000,50.5
