# default s1 SPL
freq,value
35,87.3
36.92,87.9
38.94,88.4
41.07,88.7
43.33,89
45.7,89.2
48.2,89.4
50.84,89.9
53.63,90.6
56.57,91.3
59.67,91.9
62.94,92.3
66.39,92.6
70.02,92.8
73.86,92.9
77.91,93
82.18,93
86.68,93.1
91.43,93.1
96.44,93.2
101.72,93.2
107.3,93.2
113.18,93.2
119.38,93.2
125.92,92.9
132.82,92.9
140.1,93
147.77,93.2
155.87,93.4
164.41,93.6
173.42,93.9
182.92,94
192.95,94
203.52,94
214.67,93.9
226.43,94
238.84,94.3
251.93,94.7
265.73,95.2
280.29,95.6
295.65,95.8
311.85,95.7
328.94,95.8
346.96,96.2
365.97,96.7
386.03,96.8
407.18,96.5
429.49,96.2
453.02,96.3
477.85,96.2
504.03,95.7
531.65,95.2
560.78,95.3
591.51,95.1
623.92,94.8
658.1,95.4
694.16,95.7
732.2,96.1
772.32,96.9
814.64,96.9
859.28,97.3
906.36,97.2
956.02,96.9
1008.41,96.1
1063.66,96.2
1121.95,96.3
1183.42,97.2
1248.27,98.1
1316.66,98.2
1388.81,97.9
1464.91,97.4
1545.18,97.4
1629.84,98.2
1719.15,99.2
1813.35,99
1912.71,97.6
2017.52,96.8
2128.06,97.1
2244.67,96.8
2367.66,94.7
2497.4,93.7
2634.24,94.1
2778.58,92.5
2930.83,90.8
3091.43,90.9
3260.82,88.9
3439.49,87.6
3627.96,87.3
3826.75,84.7
4036.43,84.7
4257.6,82.1
4490.9,82
4736.97,79.4
4996.53,79.2
5270.31,77
5559.09,75.7
5863.7,75.1
6185,72.8
6523.9,71.3
6881.37,70.5
7258.43,69.4
7656.15,67.9
8075.66,66.3
8518.16,64.8
8984.91,63.5
9477.23,62.3
9996.53,61
10544.28,59.4
11122.05,57.4
11731.47,56.5
12374.29,55.2
13052.33,53.5
13767.52,52.3
14521.9,51.1
15317.62,49.2
16156.94,47.8
17042.24,46.5
17976.06,45.1
18961.04,43.7
20000,42.6
