# alt-18s hr SPL
freq,value
35,77.6
36.92,78.5
38.94,79.4
41.07,80.3
43.33,81.2
45.7,82.1
48.2,83
50.84,83.9
53.63,84.8
56.57,85.7
59.67,86.6
62.94,87.4
66.39,88.3
70.02,89.2
73.86,90
77.91,90.8
82.18,91.6
86.68,92.3
91.43,92.8
96.44,93.3
101.72,93.7
107.3,94.2
113.18,94.9
119.38,95.8
125.92,96.8
132.82,97.8
140.1,98.5
147.77,99.1
155.87,99.6
164.41,100
173.42,100.4
182.92,100.8
192.95,101.1
203.52,101.4
214.67,101.7
226.43,102
238.84,102.3
251.93,102.6
265.73,102.8
280.29,102.8
295.65,103.1
311.85,103.4
328.94,103.7
346.96,104
365.97,104.2
386.03,104.3
407.18,104.2
429.49,104
453.02,103.8
477.85,103.6
504.03,103.4
531.65,103.4
560.78,103.5
591.51,103.6
623.92,103.6
658.1,103.6
694.16,103.8
732.2,104.1
772.32,104.6
814.64,104.9
859.28,104.8
906.36,104.8
956.02,104.5
1008.41,104.5
1063.66,104.5
1121.95,104.6
1183.42,105.1
1248.27,105.8
1316.66,105.8
1388.81,105.5
1464.91,105.4
1545.18,105.4
1629.84,106.1
1719.15,106.8
1813.35,106.3
1912.71,105.6
2017.52,104.8
2128.06,104.9
2244.67,104.2
2367.66,102.8
2497.4,101.9
2634.24,101.8
2778.58,100.4
2930.83,99
3091.43,98.7
3260.82,97
3439.49,95.8
3627.96,94.9
3826.75,93
4036.43,92.4
4257.6,90.3
4490.9,89.7
4736.97,87.6
4996.53,86.9
5270.31,85.2
5559.09,83.7
5863.7,82.8
6185,81
6523.9,79.4
6881.37,78.4
7258.43,77.2
7656.15,75.8
8075.66,74.3
8518.16,72.8
8984.91,71.5
9477.23,70.2
9996.53,68.8
10544.28,67.3
11122.05,65.6
11731.47,64.5
12374.29,63.1
13052.33,61.6
13767.52,60.2
14521.9,59
15317.62,57.3
16156.94,55.9
17042.24,54.6
17976.06,53.2
18961.04,51.8
20000,50.6
