# default s1 SPL
freq,value
35,87
36.92,87.8
38.94,88.5
41.07,89.2
43.33,89.8
45.7,90.3
48.2,90.7
50.84,91
53.63,91.2
56.57,91.5
59.67,92
62.94,92.7
66.39,93.5
70.02,94.1
73.86,94.5
77.91,94.8
82.18,95.1
86.68,95.3
91.43,95.4
96.44,95.6
101.72,95.7
107.3,95.9
113.18,96
119.38,96.1
125.92,96.2
132.82,96.3
140.1,96.5
147.77,96.9
155.87,97
164.41,97
173.42,96.9
182.92,96.9
192.95,96.9
203.52,97
214.67,97.2
226.43,97.5
238.84,97.8
251.93,98
265.73,98
280.29,97.9
295.65,97.6
311.85,97.5
328.94,97.5
346.96,97.7
365.97,97.8
386.03,97.7
407.18,97.3
429.49,97.1
453.02,97.2
477.85,97.5
504.03,97.5
531.65,97.4
560.78,97.6
591.51,98.2
623.92,98.4
658.1,98.4
694.16,98.8
732.2,98.9
772.32,98.4
814.64,98.4
859.28,98.1
906.36,98.5
956.02,98.8
1008.41,98.8
1063.66,99.6
1121.95,99.8
1183.42,100.2
1248.27,99.9
1316.66,99.8
1388.81,99.9
1464.91,100.2
1545.18,101.2
1629.84,101.9
1719.15,101.6
1813.35,101
1912.71,100.7
2017.52,100.6
2128.06,99.8
2244.67,98.3
2367.66,97.3
2497.4,97
2634.24,95.8
2778.58,94.4
2930.83,93.9
3091.43,92.6
3260.82,91
3439.49,90.5
3627.96,88.5
3826.75,87.7
4036.43,86.2
4257.6,84.9
4490.9,83.5
4736.97,82.3
4996.53,80.5
5270.31,79.7
5559.09,77.7
5863.7,76.6
6185,75.5
6523.9,73.7
6881.37,72.2
7258.43,71
7656.15,69.8
8075.66,68.5
8518.16,67.1
8984.91,65.7
9477.23,64.2
9996.53,62.7
10544.28,61.1
11122.05,59.9
11731.47,58.7
12374.29,56.9
13052.33,55.9
13767.52,54.2
14521.9,53.1
15317.62,51.7
16156.94,50.2
17042.24,48.7
17976.06,47.3
18961.04,46.1
20000,44.7
