# default s1 SPL 6x
freq,value
35,99.4
36.92,100.2
38.94,101.1
41.07,101.9
43.33,102.7
45.7,103.5
48.2,104.2
50.84,104.9
53.63,105.6
56.57,106.1
59.67,106.5
62.94,106.9
66.39,107.1
70.02,107.5
73.86,108
77.91,108.7
82.18,109.5
86.68,110.2
91.43,110.7
96.44,111
101.72,111.1
107.3,111.2
113.18,111.3
119.38,111.3
125.92,111.2
132.82,111.2
140.1,111.1
147.77,111
155.87,110.9
164.41,110.7
173.42,110.6
182.92,110.2
192.95,110.2
203.52,110.3
214.67,110.5
226.43,110.6
238.84,110.8
251.93,110.9
265.73,110.9
280.29,110.9
295.65,110.9
311.85,111.1
328.94,111.3
346.96,111.7
365.97,112
386.03,112.1
407.18,111.8
429.49,111.4
453.02,110.9
477.85,110.5
504.03,110.3
531.65,110.1
560.78,109.7
591.51,109.4
623.92,109.8
658.1,110.5
694.16,111
732.2,111.3
772.32,112
814.64,112.1
859.28,111.3
906.36,110.6
956.02,110.5
1008.41,110.6
1063.66,111.6
1121.95,112.6
1183.42,112.7
1248.27,112.4
1316.66,111.5
1388.81,111.9
1464.91,112.7
1545.18,113.4
1629.84,112.1
1719.15,110.5
1813.35,110.3
1912.71,110.5
2017.52,109.1
2128.06,107.3
2244.67,107.4
2367.66,106.8
2497.4,104.3
2634.24,104.1
2778.58,103.1
2930.83,100.8
3091.43,101
3260.82,98.4
3439.49,98
3627.96,95.8
3826.75,95.4
4036.43,93
4257.6,92.8
4490.9,90.2
4736.97,89.6
4996.53,88.4
5270.31,86.1
5559.09,85
5863.7,84.3
6185,82.9
6523.9,81.2
6881.37,79.5
7258.43,78.1
7656.15,76.7
8075.66,75.6
8518.16,74.5
8984.91,73.1
9477.23,71
9996.53,69.9
10544.28,68.9
11122.05,66.9
11731.47,65.9
12374.29,64.5
13052.33,62.7
13767.52,61.3
14521.9,60
15317.62,58.6
16156.94,57.1
17042.24,56.2
17976.06,54.7
18961.04,53.3
20000,51.6
