# alt-18s hr SPL
freq,value
35,84.3
36.92,85.2
38.94,86
41.07,86.9
43.33,87.7
45.7,88.5
48.2,89.2
50.84,89.8
53.63,90.3
56.57,90.7
59.67,91.2
62.94,91.8
66.39,92.6
70.02,93.6
73.86,94.6
77.91,95.4
82.18,96
86.68,96.5
91.43,97
96.44,97.4
101.72,97.8
107.3,98.1
113.18,98.4
119.38,98.8
125.92,99.1
132.82,99.4
140.1,99.7
147.77,100
155.87,100.3
164.41,100.2
173.42,100.6
182.92,101
192.95,101.4
203.52,101.7
214.67,101.8
226.43,101.9
238.84,101.7
251.93,101.5
265.73,101.2
280.29,100.9
295.65,100.8
311.85,100.7
328.94,100.7
346.96,100.5
365.97,100.3
386.03,100.1
407.18,100.2
429.49,100.7
453.02,101.5
477.85,102
504.03,102.2
531.65,102.2
560.78,102.3
591.51,102.1
623.92,102.1
658.1,101.5
694.16,101.6
732.2,102.1
772.32,102.6
814.64,103.7
859.28,104.2
906.36,103.7
956.02,103.4
1008.41,103.1
1063.66,104
1121.95,105.3
1183.42,105.7
1248.27,104.6
1316.66,103.1
1388.81,102.7
1464.91,103.1
1545.18,101.5
1629.84,99.5
1719.15,99.3
1813.35,99.2
1912.71,96.8
2017.52,95.7
2128.06,95.8
2244.67,93.2
2367.66,92.7
2497.4,91.6
2634.24,89.3
2778.58,89.2
2930.83,86.5
3091.43,86.6
3260.82,83.9
3439.49,83.5
3627.96,81.7
3826.75,79.9
4036.43,79.5
4257.6,77.5
4490.9,75.6
4736.97,74.9
4996.53,74
5270.31,72.5
5559.09,70.9
5863.7,69.4
6185,68
6523.9,66.8
6881.37,65.6
7258.43,63.8
7656.15,61.8
8075.66,60.9
8518.16,59.7
8984.91,57.8
9477.23,56.9
9996.53,55.5
10544.28,53.6
11122.05,52.3
11731.47,51.1
12374.29,49.6
13052.33,48
13767.52,46.9
14521.9,45.9
15317.62,44
16156.94,42.8
17042.24,41.7
17976.06,40.3
18961.04,38.9
20000,37.1
