# default s1 SPL
freq,value
35,88.5
36.92,89.4
38.94,90.3
41.07,91.1
43.33,91.9
45.7,92.6
48.2,93.2
50.84,93.7
53.63,94.1
56.57,94.6
59.67,95.2
62.94,96
66.39,97
70.02,97.9
73.86,98.6
77.91,99.2
82.18,99.6
86.68,100
91.43,100.3
96.44,100.6
101.72,100.9
107.3,101.1
113.18,101.3
119.38,101.5
125.92,101.6
132.82,101.8
140.1,101.8
147.77,101.6
155.87,101.7
164.41,101.8
173.42,101.9
182.92,102
192.95,102
203.52,101.8
214.67,101.6
226.43,101.2
238.84,100.8
251.93,100.6
265.73,100.5
280.29,100.6
295.65,100.9
311.85,101.2
328.94,101.4
346.96,101.6
365.97,101.8
386.03,102.2
407.18,102.9
429.49,103.4
453.02,103.4
477.85,103
504.03,102.6
531.65,102.4
560.78,101.9
591.51,101.3
623.92,102.1
658.1,102.9
694.16,103.6
732.2,104.2
772.32,104.8
814.64,104.4
859.28,103.7
906.36,103.5
956.02,103.7
1008.41,105.2
1063.66,106.2
1121.95,106.4
1183.42,105.3
1248.27,104.7
1316.66,104.7
1388.81,105
1464.91,103.4
1545.18,101.2
1629.84,101.1
1719.15,101.2
1813.35,98.9
1912.71,97.5
2017.52,97.8
2128.06,95.6
2244.67,94.2
2367.66,94.2
2497.4,91.3
2634.24,91.4
2778.58,89.1
2930.83,88.5
3091.43,86.4
3260.82,85.9
3439.49,83.3
3627.96,83.4
3826.75,80.9
4036.43,79.6
4257.6,79.1
4490.9,77
4736.97,75
4996.53,74
5270.31,73.1
5559.09,71.9
5863.7,70.7
6185,69.2
6523.9,67.7
6881.37,65.9
7258.43,64.1
7656.15,63.1
8075.66,62.3
8518.16,60
8984.91,59.4
9477.23,57.2
9996.53,56.6
10544.28,55
11122.05,53.2
11731.47,51.7
12374.29,50.4
13052.33,49.2
13767.52,48.2
14521.9,46.3
15317.62,45.3
16156.94,43.4
17042.24,42.2
17976.06,40.9
18961.04,39.4
20000,38
