# default s1 SPL
freq,value
35,86.7
36.92,87.5
38.94,88.4
41.07,89.2
43.33,90
45.7,90.7
48.2,91.3
50.84,91.8
53.63,92.2
56.57,92.7
59.67,93.2
62.94,94
66.39,95
70.02,96
73.86,96.8
77.91,97.4
82.18,97.9
86.68,98.3
91.43,98.7
96.44,99
101.72,99.4
107.3,99.7
113.18,100
119.38,100.3
125.92,100.6
132.82,100.9
140.1,101.1
147.77,101.4
155.87,102
164.41,102.1
173.42,102.2
182.92,102.1
192.95,102.1
203.52,102
214.67,101.9
226.43,101.9
238.84,102
251.93,102
265.73,101.9
280.29,101.6
295.65,101.2
311.85,100.7
328.94,100.4
346.96,100.5
365.97,100.9
386.03,101.3
407.18,101.7
429.49,101.9
453.02,102.3
477.85,103
504.03,103.4
531.65,103.2
560.78,102.6
591.51,102
623.92,102.5
658.1,102
694.16,102.1
732.2,103.2
772.32,104
814.64,104.5
859.28,104.8
906.36,104
956.02,103.5
1008.41,103.9
1063.66,105
1121.95,106.4
1183.42,106.1
1248.27,104.8
1316.66,103.7
1388.81,103.9
1464.91,104
1545.18,101.8
1629.84,100
1719.15,100.5
1813.35,99.8
1912.71,97.2
2017.52,96.9
2128.06,96.4
2244.67,93.6
2367.66,93.7
2497.4,91.8
2634.24,90.4
2778.58,89.8
2930.83,87.4
3091.43,87.1
3260.82,84.9
3439.49,83.8
3627.96,82.8
3826.75,80.4
4036.43,80.2
4257.6,78.5
4490.9,76.2
4736.97,75.1
4996.53,74.5
5270.31,73.4
5559.09,71.8
5863.7,70.4
6185,69
6523.9,67.7
6881.37,66.2
7258.43,64.3
7656.15,62.5
8075.66,61.9
8518.16,60.2
8984.91,58.7
9477.23,57.3
9996.53,56.4
10544.28,54.3
11122.05,52.8
11731.47,51.5
12374.29,50.2
13052.33,48.7
13767.52,47.8
14521.9,46.5
15317.62,44.8
16156.94,43.4
17042.24,42.4
17976.06,41
18961.04,39.5
20000,37.7
