# default s1 phase
freq,value
35,41.3
36.92,43.5
38.94,45.9
41.07,48.4
43.33,51
45.7,53.8
48.2,56.7
50.84,56.7
53.63,55.7
56.57,54.6
59.67,53.5
62.94,52.3
66.39,51.1
70.02,49.8
73.86,48.3
77.91,46
82.18,43.6
86.68,41.1
91.43,38.4
96.44,35.6
101.72,33.1
107.3,30.5
113.18,27.8
119.38,24.9
125.92,23.1
132.82,22.1
140.1,21
147.77,19.7
155.87,18.1
164.41,16.4
173.42,14.9
182.92,13.8
192.95,12.6
203.52,12.7
214.67,13.1
226.43,14
238.84,15.1
251.93,15.2
265.73,14.4
280.29,12.5
295.65,10.1
311.85,7.3
328.94,5.3
346.96,3.5
365.97,1.1
386.03,-2.6
407.18,-7.3
429.49,-10.7
453.02,-11.9
477.85,-11.2
504.03,-10.4
531.65,-10.1
560.78,-9.1
591.51,-5.3
623.92,-7
658.1,-14.3
694.16,-20.3
732.2,-25.2
772.32,-29.6
814.64,-30.1
859.28,-28.7
906.36,-29.9
956.02,-34.2
1008.41,-43.5
1063.66,-53.1
1121.95,-59.8
1183.42,-64.6
1248.27,-72.6
1316.66,-86.6
1388.81,-98.8
1464.91,-103.6
1545.18,-106
1629.84,-114
1719.15,-123.1
1813.35,-125.1
1912.71,-129.5
2017.52,-138
2128.06,-139.5
2244.67,-143
2367.66,-148.8
2497.4,-149.1
2634.24,-153.5
2778.58,-155.3
2930.83,-157.5
3091.43,-158.9
3260.82,-159.2
3439.49,-161.3
3627.96,-159
3826.75,-161.3
4036.43,-160.9
4257.6,-156.5
4490.9,-157.3
4736.97,-158.5
4996.53,-155.4
5270.31,-150.9
5559.09,-146.9
5863.7,-143.6
6185,-140.1
6523.9,-135.2
6881.37,-128.5
7258.43,-121.7
7656.15,-117.9
8075.66,-112.6
8518.16,-103.3
8984.91,-95.3
9477.23,-86.5
9996.53,-74
10544.28,-61.3
11122.05,-48.4
11731.47,-31
12374.29,-6.9
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
