# default rew SPL
freq,value
35,95.1
36.92,95.7
38.94,96
41.07,96.4
43.33,96.7
45.7,97
48.2,97.4
50.84,98.1
53.63,98.8
56.57,99.8
59.67,100.6
62.94,101
66.39,101.6
70.02,101.8
73.86,102.3
77.91,102.2
82.18,102.7
86.68,102.6
91.43,102.9
96.44,103.4
101.72,103.4
107.3,103.6
113.18,103.9
119.38,103.9
125.92,104.7
132.82,104.7
140.1,104.6
147.77,104.7
155.87,104.8
164.41,104.7
173.42,105
182.92,104.8
192.95,105.6
203.52,105.6
214.67,105.9
226.43,105.9
238.84,105.6
251.93,105.7
265.73,105.3
280.29,105
295.65,105.3
311.85,105.2
328.94,104.9
346.96,104.6
365.97,104.4
386.03,105.2
407.18,105.4
429.49,105.9
453.02,105.9
477.85,105.8
504.03,106.7
531.65,106.5
560.78,106.4
591.51,106.3
623.92,106.4
658.1,106
694.16,106.7
732.2,106.7
772.32,107.2
814.64,108.2
859.28,108.5
906.36,108.4
956.02,107.8
1008.41,108
1063.66,108.6
1121.95,109.9
1183.42,109.9
1248.27,109
1316.66,108.1
1388.81,107.7
1464.91,107.2
1545.18,106.2
1629.84,104.1
1719.15,103.5
1813.35,103.1
1912.71,101.2
2017.52,100.6
2128.06,99.8
2244.67,98
2367.66,96.9
2497.4,96
2634.24,94
2778.58,93.2
2930.83,91.4
3091.43,91
3260.82,88.6
3439.49,88
3627.96,85.9
3826.75,84.5
4036.43,84
4257.6,82.2
4490.9,80.3
4736.97,79.2
4996.53,78.2
5270.31,76.9
5559.09,75
5863.7,73.7
6185,72.4
6523.9,70.8
6881.37,70.1
7258.43,68.3
7656.15,66.6
8075.66,65.5
8518.16,64.3
8984.91,62.1
9477.23,61.3
9996.53,60
10544.28,58.1
11122.05,56.9
11731.47,55.7
12374.29,54
13052.33,52.7
13767.52,51.7
14521.9,50.1
15317.62,48.2
16156.94,47.3
17042.24,46
17976.06,44.9
18961.04,43.1
20000,41.7
