# default s1 SPL
freq,value
35,94.3
36.92,95
38.94,95.5
41.07,96
43.33,96.4
45.7,96.8
48.2,97.3
50.84,98
53.63,98.9
56.57,99.8
59.67,100.5
62.94,101.1
66.39,101.5
70.02,101.8
73.86,102.1
77.91,102.4
82.18,102.6
86.68,102.8
91.43,103
96.44,103.2
101.72,103.4
107.3,103.6
113.18,103.8
119.38,103.9
125.92,104.5
132.82,104.6
140.1,104.7
147.77,104.7
155.87,104.7
164.41,104.7
173.42,104.8
182.92,105.1
192.95,105.4
203.52,105.7
214.67,106
226.43,106
238.84,105.8
251.93,105.5
265.73,105.3
280.29,105.3
295.65,105.4
311.85,105.4
328.94,105.2
346.96,104.8
365.97,104.6
386.03,104.9
407.18,105.4
429.49,105.6
453.02,105.6
477.85,106.1
504.03,106.6
531.65,106.6
560.78,106.2
591.51,106.3
623.92,106.6
658.1,106.1
694.16,106.5
732.2,106.6
772.32,107.3
814.64,108
859.28,108.2
906.36,108.3
956.02,107.8
1008.41,108.1
1063.66,108.8
1121.95,109.7
1183.42,110.2
1248.27,109.1
1316.66,107.9
1388.81,107.6
1464.91,107.4
1545.18,106
1629.84,104.2
1719.15,103.7
1813.35,103.3
1912.71,101.3
2017.52,100.4
2128.06,100
2244.67,97.9
2367.66,97.1
2497.4,95.8
2634.24,94.1
2778.58,93.4
2930.83,91.2
3091.43,90.8
3260.82,88.5
3439.49,87.7
3627.96,86.2
3826.75,84.4
4036.43,83.8
4257.6,82
4490.9,80.2
4736.97,79.2
4996.53,78.2
5270.31,76.8
5559.09,75.2
5863.7,73.8
6185,72.5
6523.9,71.1
6881.37,69.8
7258.43,68.2
7656.15,66.4
8075.66,65.4
8518.16,64
8984.91,62.4
9477.23,61.2
9996.53,59.9
10544.28,58.1
11122.05,56.8
11731.47,55.5
12374.29,54.1
13052.33,52.6
13767.52,51.4
14521.9,50.2
15317.62,48.5
16156.94,47.2
17042.24,46
17976.06,44.6
18961.04,43.2
20000,41.6
