# default s1 SPL
freq,value
35,77.7
36.92,80
38.94,82.2
41.07,84.4
43.33,86.6
45.7,88.6
48.2,90.5
50.84,92.2
53.63,93.6
56.57,94.7
59.67,95.5
62.94,96
66.39,96.4
70.02,96.6
73.86,96.7
77.91,96.8
82.18,96.8
86.68,96.8
91.43,96.8
96.44,96.7
101.72,96.7
107.3,96.6
113.18,96.5
119.38,96.4
125.92,96.3
132.82,96.1
140.1,96.1
147.77,95.7
155.87,95.1
164.41,94.4
173.42,93.6
182.92,92.6
192.95,91.6
203.52,90.4
214.67,89.2
226.43,87.7
238.84,86
251.93,84
265.73,81.7
280.29,79.3
295.65,76.9
311.85,74.7
328.94,72.6
346.96,70.3
365.97,67.7
386.03,64.9
407.18,62.1
429.49,59.5
453.02,56.9
477.85,54
504.03,50.7
531.65,47.8
560.78,45.1
591.51,42.2
623.92,39.2
658.1,37
694.16,34.6
732.2,31.8
772.32,30.2
814.64,27.5
859.28,24.4
906.36,21.6
956.02,18.3
1008.41,16
1063.66,13.4
1121.95,11.6
1183.42,9.1
1248.27,6.6
1316.66,3.6
1388.81,0.9
1464.91,-1.1
1545.18,-3.3
1629.84,-6.7
1719.15,-10.6
1813.35,-13.9
1912.71,-16.3
2017.52,-19.5
2128.06,-23.2
2244.67,-25.9
2367.66,-28.3
2497.4,-31.9
2634.24,-34.4
2778.58,-36.9
2930.83,-40.6
3091.43,-42.5
3260.82,-46
3439.49,-48.4
3627.96,-51.4
3826.75,-54
4036.43,-57.1
4257.6,-59.4
4490.9,-62.1
4736.97,-62.9
4996.53,-64.5
5270.31,-66.3
5559.09,-67.4
5863.7,-68.5
6185,-70
6523.9,-71.6
6881.37,-73.1
7258.43,-74.5
7656.15,-75.9
8075.66,-77.1
8518.16,-78.3
8984.91,-79.6
9477.23,-81.4
9996.53,-82.8
10544.28,-83.9
11122.05,-85.7
11731.47,-86.7
12374.29,-88.2
13052.33,-89.8
13767.52,-91.1
14521.9,-92.4
15317.62,-93.9
16156.94,-95.3
17042.24,-96.5
17976.06,-97.9
18961.04,-99.4
20000,-100.8
