# default s1 SPL
freq,value
35,81.7
36.92,84
38.94,86.4
41.07,88.7
43.33,91
45.7,93.3
48.2,95.6
50.84,97.8
53.63,99.9
56.57,101.8
59.67,103.5
62.94,104.9
66.39,106
70.02,106.8
73.86,107.4
77.91,107.8
82.18,108.1
86.68,108.3
91.43,108.4
96.44,108.5
101.72,108.6
107.3,108.6
113.18,108.6
119.38,108.6
125.92,108.6
132.82,108.6
140.1,108.5
147.77,108.3
155.87,108.1
164.41,108.1
173.42,107.6
182.92,106.9
192.95,106.1
203.52,105.2
214.67,104.1
226.43,103
238.84,101.7
251.93,100.2
265.73,98.5
280.29,96.5
295.65,94.2
311.85,91.7
328.94,89.3
346.96,86.9
365.97,84.8
386.03,82.8
407.18,80.6
429.49,78.1
453.02,75.5
477.85,73.1
504.03,70.7
531.65,68.1
560.78,64.9
591.51,61.5
623.92,58.5
658.1,55.5
694.16,52.3
732.2,49.6
772.32,48.3
814.64,46.1
859.28,43.8
906.36,41.6
956.02,38.3
1008.41,35.1
1063.66,31.9
1121.95,29.3
1183.42,27.8
1248.27,26
1316.66,23.8
1388.81,20.5
1464.91,17.2
1545.18,15
1629.84,12.8
1719.15,9.5
1813.35,5.1
1912.71,1.8
2017.52,-0.3
2128.06,-3.6
2244.67,-7.7
2367.66,-9.7
2497.4,-12.2
2634.24,-16.4
2778.58,-18.1
2930.83,-21.1
3091.43,-24.5
3260.82,-26.3
3439.49,-30.3
3627.96,-31.9
3826.75,-35.9
4036.43,-37.5
4257.6,-41.3
4490.9,-43.6
4736.97,-46
4996.53,-49.7
5270.31,-51.1
5559.09,-52
5863.7,-53.8
6185,-55.7
6523.9,-57.1
6881.37,-58.4
7258.43,-59.7
7656.15,-61.1
8075.66,-62.7
8518.16,-64
8984.91,-64.9
9477.23,-66
9996.53,-68.1
10544.28,-69
11122.05,-70.7
11731.47,-71.7
12374.29,-73.7
13052.33,-74.7
13767.52,-75.8
14521.9,-77.2
15317.62,-78.6
16156.94,-80.3
17042.24,-82
17976.06,-82.8
18961.04,-84.7
20000,-85.7
