# default s1 SPL 2x
freq,value
35,82.2
36.92,84.5
38.94,86.8
41.07,89
43.33,91.3
45.7,93.5
48.2,95.7
50.84,97.8
53.63,99.9
56.57,101.9
59.67,103.7
62.94,105.3
66.39,106.6
70.02,107.6
73.86,108.2
77.91,108.7
82.18,108.9
86.68,109
91.43,109.1
96.44,109
101.72,109
107.3,108.9
113.18,108.8
119.38,108.7
125.92,108.6
132.82,108.5
140.1,108.4
147.77,108.2
155.87,108.1
164.41,107.9
173.42,107.5
182.92,107.2
192.95,106.9
203.52,106.5
214.67,106.1
226.43,105.6
238.84,104.8
251.93,103.8
265.73,102.4
280.29,100.6
295.65,98.5
311.85,96.3
328.94,93.9
346.96,91.5
365.97,89.1
386.03,86.3
407.18,83.3
429.49,80.2
453.02,77.2
477.85,74.7
504.03,72.4
531.65,70.1
560.78,67.5
591.51,65
623.92,63.1
658.1,60.4
694.16,57.1
732.2,53.7
772.32,51.1
814.64,48.6
859.28,46.3
906.36,44.5
956.02,42
1008.41,38.9
1063.66,36
1121.95,33.2
1183.42,31.6
1248.27,29.1
1316.66,25.8
1388.81,21.6
1464.91,18.8
1545.18,16.3
1629.84,13.1
1719.15,9.3
1813.35,6.8
1912.71,4.5
2017.52,0.7
2128.06,-1.7
2244.67,-4.1
2367.66,-8
2497.4,-9.7
2634.24,-13.3
2778.58,-15.6
2930.83,-18.6
3091.43,-21.2
3260.82,-24.4
3439.49,-26.6
3627.96,-30.2
3826.75,-32.2
4036.43,-35.2
4257.6,-38.5
4490.9,-40.8
4736.97,-43.2
4996.53,-46.3
5270.31,-49.5
5559.09,-51.6
5863.7,-52.9
6185,-54.3
6523.9,-55.6
6881.37,-56.8
7258.43,-57.8
7656.15,-59.3
8075.66,-61.2
8518.16,-62
8984.91,-63.9
9477.23,-64.8
9996.53,-66.7
10544.28,-67.9
11122.05,-69
11731.47,-70.4
12374.29,-71.7
13052.33,-73.3
13767.52,-75
14521.9,-76.1
15317.62,-77.7
16156.94,-78.7
17042.24,-80.3
17976.06,-81.8
18961.04,-83
20000,-84.3
