# default s1 SPL
freq,value
35,83.9
36.92,86.1
38.94,88.4
41.07,90.6
43.33,92.7
45.7,94.6
48.2,96.3
50.84,97.8
53.63,99
56.57,99.9
59.67,100.5
62.94,100.9
66.39,101.2
70.02,101.5
73.86,101.6
77.91,101.8
82.18,101.9
86.68,102
91.43,102.1
96.44,102.2
101.72,102.3
107.3,102.4
113.18,102.4
119.38,102.5
125.92,102.4
132.82,102.6
140.1,102.5
147.77,102.2
155.87,101.6
164.41,100.8
173.42,99.8
182.92,98.6
192.95,97.2
203.52,95.7
214.67,94
226.43,92.2
238.84,90.1
251.93,87.6
265.73,84.9
280.29,82
295.65,79.2
311.85,76.7
328.94,74.3
346.96,72
365.97,69.4
386.03,66.8
407.18,64.4
429.49,62.3
453.02,60.1
477.85,57.3
504.03,54.2
531.65,51.3
560.78,48.3
591.51,44.7
623.92,42.2
658.1,39.8
694.16,37.3
732.2,35.3
772.32,33.3
814.64,30.4
859.28,27.6
906.36,24
956.02,21.3
1008.41,19
1063.66,17.6
1121.95,15.3
1183.42,12.3
1248.27,8.4
1316.66,5.5
1388.81,3.6
1464.91,0.4
1545.18,-3.9
1629.84,-7
1719.15,-8.7
1813.35,-12
1912.71,-15.8
2017.52,-17.5
2128.06,-20.6
2244.67,-24.3
2367.66,-25.9
2497.4,-29.7
2634.24,-31.8
2778.58,-34.9
2930.83,-37.7
3091.43,-40.5
3260.82,-43.1
3439.49,-46.3
3627.96,-48.3
3826.75,-52.2
4036.43,-54.3
4257.6,-56
4490.9,-58.2
4736.97,-59.8
4996.53,-60.6
5270.31,-61.7
5559.09,-62.9
5863.7,-64.3
6185,-65.8
6523.9,-67.2
6881.37,-68.8
7258.43,-70.7
7656.15,-72.1
8075.66,-72.8
8518.16,-74.8
8984.91,-75.8
9477.23,-77.6
9996.53,-78.4
10544.28,-80.2
11122.05,-81.8
11731.47,-83.2
12374.29,-84.6
13052.33,-85.9
13767.52,-86.9
14521.9,-88.5
15317.62,-89.8
16156.94,-91.5
17042.24,-92.6
17976.06,-93.9
18961.04,-95.4
20000,-97
