# default s1 SPL
freq,value
35,80.2
36.92,82.5
38.94,84.8
41.07,87
43.33,89.3
45.7,91.5
48.2,93.6
50.84,95.5
53.63,97.4
56.57,98.9
59.67,100.2
62.94,101.2
66.39,101.8
70.02,102.3
73.86,102.5
77.91,102.7
82.18,102.7
86.68,102.7
91.43,102.7
96.44,102.6
101.72,102.6
107.3,102.5
113.18,102.3
119.38,102.2
125.92,102
132.82,101.9
140.1,101.6
147.77,101.4
155.87,100.7
164.41,100.3
173.42,99.9
182.92,99.5
192.95,99
203.52,98.4
214.67,97.5
226.43,96.4
238.84,94.9
251.93,93.2
265.73,91.4
280.29,89.5
295.65,87.6
311.85,85.7
328.94,83.6
346.96,81.1
365.97,78.3
386.03,75.2
407.18,72.1
429.49,69.2
453.02,66.3
477.85,63.2
504.03,60
531.65,57.4
560.78,55.4
591.51,53.3
623.92,51.6
658.1,49.2
694.16,46.6
732.2,43.1
772.32,39.7
814.64,37
859.28,34.5
906.36,32.9
956.02,31.2
1008.41,28.5
1063.66,25.5
1121.95,22.1
1183.42,20.1
1248.27,18.2
1316.66,15.4
1388.81,11.1
1464.91,7
1545.18,5
1629.84,2.4
1719.15,-2
1813.35,-5.1
1912.71,-6.6
2017.52,-10.3
2128.06,-13.6
2244.67,-15.1
2367.66,-19.3
2497.4,-21.4
2634.24,-24.3
2778.58,-27.6
2930.83,-29.6
3091.43,-33.2
3260.82,-35.4
3439.49,-38.3
3627.96,-41.6
3826.75,-43.3
4036.43,-47.1
4257.6,-49.8
4490.9,-51.7
4736.97,-54.7
4996.53,-56.9
5270.31,-58.6
5559.09,-59.9
5863.7,-61.3
6185,-62.6
6523.9,-64.1
6881.37,-65.4
7258.43,-66.2
7656.15,-67.3
8075.66,-69.5
8518.16,-70.5
8984.91,-71.9
9477.23,-73.2
9996.53,-75.1
10544.28,-75.9
11122.05,-77.1
11731.47,-78.6
12374.29,-80
13052.33,-81.4
13767.52,-83.2
14521.9,-84.6
15317.62,-85.7
16156.94,-87.1
17042.24,-88.8
17976.06,-90.3
18961.04,-91.5
20000,-92.5
