# default s1 SPL
freq,value
35,77
36.92,79.3
38.94,81.7
41.07,84
43.33,86.4
45.7,88.7
48.2,91
50.84,93.3
53.63,95.5
56.57,97.6
59.67,99.5
62.94,101.2
66.39,102.7
70.02,103.8
73.86,104.7
77.91,105.3
82.18,105.7
86.68,106
91.43,106.2
96.44,106.4
101.72,106.5
107.3,106.6
113.18,106.6
119.38,106.7
125.92,106.7
132.82,106.6
140.1,106.6
147.77,106.5
155.87,106.3
164.41,106.1
173.42,105.5
182.92,105.2
192.95,104.8
203.52,104.3
214.67,103.6
226.43,102.6
238.84,101.4
251.93,99.9
265.73,98.2
280.29,96.3
295.65,94.4
311.85,92.5
328.94,90.7
346.96,88.9
365.97,86.8
386.03,84.5
407.18,81.9
429.49,79.3
453.02,76.7
477.85,74.1
504.03,71.1
531.65,67.7
560.78,64.4
591.51,61.6
623.92,60
658.1,57.6
694.16,55.3
732.2,53.2
772.32,50.7
814.64,47.4
859.28,44.2
906.36,41.5
956.02,39
1008.41,37.5
1063.66,35.6
1121.95,32.7
1183.42,29.5
1248.27,26.2
1316.66,24.1
1388.81,21.3
1464.91,17.4
1545.18,13.5
1629.84,11
1719.15,8.8
1813.35,4.7
1912.71,1.7
2017.52,-0.1
2128.06,-3.9
2244.67,-6.6
2367.66,-8.7
2497.4,-12.7
2634.24,-14.3
2778.58,-18.1
2930.83,-20
3091.43,-23.7
3260.82,-25.6
3439.49,-29.4
3627.96,-31.1
3826.75,-34.6
4036.43,-37.6
4257.6,-39.5
4490.9,-42.7
4736.97,-46.1
4996.53,-48.7
5270.31,-51.1
5559.09,-52.8
5863.7,-54.1
6185,-55.5
6523.9,-57.1
6881.37,-58.8
7258.43,-60.4
7656.15,-61.4
8075.66,-62.5
8518.16,-64.6
8984.91,-65.2
9477.23,-67.3
9996.53,-68.1
10544.28,-69.5
11122.05,-71.2
11731.47,-72.8
12374.29,-74.1
13052.33,-75.3
13767.52,-76.4
14521.9,-78.3
15317.62,-79.3
16156.94,-81.1
17042.24,-82.4
17976.06,-83.7
18961.04,-85.2
20000,-86.5
