# default s1 SPL
freq,value
35,76.7
36.92,79
38.94,81.2
41.07,83.5
43.33,85.7
45.7,87.9
48.2,90.1
50.84,92.2
53.63,94.3
56.57,96.1
59.67,97.8
62.94,99.2
66.39,100.3
70.02,101.1
73.86,101.7
77.91,102
82.18,102.2
86.68,102.3
91.43,102.4
96.44,102.4
101.72,102.4
107.3,102.4
113.18,102.4
119.38,102.4
125.92,102.4
132.82,102.4
140.1,102.4
147.77,102.3
155.87,102.3
164.41,102.6
173.42,102.5
182.92,102.2
192.95,101.8
203.52,101.2
214.67,100.6
226.43,99.8
238.84,98.9
251.93,97.9
265.73,96.6
280.29,95
295.65,93
311.85,90.5
328.94,87.8
346.96,84.9
365.97,82
386.03,79.3
407.18,76.5
429.49,73.7
453.02,70.7
477.85,68.1
504.03,65.9
531.65,64
560.78,61.8
591.51,59.1
623.92,56.8
658.1,54
694.16,50.6
732.2,47
772.32,44.4
814.64,42.4
859.28,40.4
906.36,38.6
956.02,35.9
1008.41,32.3
1063.66,29.4
1121.95,27
1183.42,25.7
1248.27,23.1
1316.66,19.4
1388.81,15
1464.91,12.7
1545.18,10.5
1629.84,6.6
1719.15,2.8
1813.35,1
1912.71,-1.7
2017.52,-6
2128.06,-7.6
2244.67,-10.3
2367.66,-14.3
2497.4,-15.5
2634.24,-19.8
2778.58,-21.5
2930.83,-25.2
3091.43,-27.2
3260.82,-30.9
3439.49,-32.5
3627.96,-36.6
3826.75,-38.4
4036.43,-41.2
4257.6,-45
4490.9,-47.2
4736.97,-49.3
4996.53,-52.3
5270.31,-55.1
5559.09,-56.8
5863.7,-58.2
6185,-59.6
6523.9,-60.8
6881.37,-61.8
7258.43,-62.8
7656.15,-64.6
8075.66,-66.5
8518.16,-67.1
8984.91,-69.3
9477.23,-69.8
9996.53,-72
10544.28,-73.3
11122.05,-74.2
11731.47,-75.5
12374.29,-76.9
13052.33,-78.6
13767.52,-80.3
14521.9,-81.1
15317.62,-83
16156.94,-83.9
17042.24,-85.4
17976.06,-86.9
18961.04,-88.2
20000,-89.6
