# alt-18s hr SPL
freq,value
35,66.9
36.92,69.3
38.94,71.6
41.07,73.9
43.33,76.2
45.7,78.5
48.2,80.8
50.84,83.1
53.63,85.4
56.57,87.7
59.67,90
62.94,92.2
66.39,94.4
70.02,96.6
73.86,98.6
77.91,100.5
82.18,102.2
86.68,103.6
91.43,104.8
96.44,105.6
101.72,106.1
107.3,106.5
113.18,106.7
119.38,106.8
125.92,106.8
132.82,106.8
140.1,106.8
147.77,106.7
155.87,106.6
164.41,106.5
173.42,106.4
182.92,106.2
192.95,106
203.52,105.7
214.67,105.3
226.43,105.1
238.84,104.6
251.93,103.8
265.73,102.8
280.29,101.5
295.65,100.1
311.85,98.5
328.94,96.7
346.96,95
365.97,93.2
386.03,91.2
407.18,89.1
429.49,86.8
453.02,84.2
477.85,81.5
504.03,78.7
531.65,76
560.78,73.3
591.51,70.4
623.92,67.3
658.1,64.2
694.16,61.3
732.2,58.8
772.32,56.4
814.64,53.9
859.28,51.3
906.36,49.4
956.02,46.8
1008.41,43.6
1063.66,40.4
1121.95,37.6
1183.42,34.7
1248.27,32.4
1316.66,30.4
1388.81,27.9
1464.91,25.2
1545.18,21.9
1629.84,19.2
1719.15,17
1813.35,15
1912.71,11.9
2017.52,8.3
2128.06,5
2244.67,2.7
2367.66,-0.2
2497.4,-4.1
2634.24,-6.7
2778.58,-8.9
2930.83,-12.5
3091.43,-15.2
3260.82,-17.5
3439.49,-21.1
3627.96,-23.2
3826.75,-26.5
4036.43,-29.1
4257.6,-32
4490.9,-34.6
4736.97,-37.7
4996.53,-40
5270.31,-43.5
5559.09,-45.5
5863.7,-48.6
6185,-51.5
6523.9,-52.5
6881.37,-53.6
7258.43,-55.2
7656.15,-56.9
8075.66,-58.3
8518.16,-59.8
8984.91,-61.1
9477.23,-62.4
9996.53,-63.6
10544.28,-64.8
11122.05,-66.4
11731.47,-68.1
12374.29,-69
13052.33,-70.8
13767.52,-71.8
14521.9,-73.5
15317.62,-74.9
16156.94,-76.2
17042.24,-77.5
17976.06,-78.9
18961.04,-80.5
20000,-81.9
