# default rew phase
freq,value
35,48
36.92,49.6
38.94,51.2
41.07,53
43.33,54.8
45.7,56.8
48.2,58.8
50.84,52.7
53.63,43.6
56.57,33.9
59.67,23.7
62.94,13
66.39,1.7
70.02,-10.3
73.86,-22.1
77.91,-30.6
82.18,-39.6
86.68,-49.1
91.43,-59
96.44,-69.5
101.72,-81
107.3,-93.2
113.18,-106
119.38,-119.6
125.92,-132.3
132.82,-144.6
140.1,-157.5
147.77,-171.7
155.87,-189.3
164.41,-207.8
173.42,-225.6
182.92,-239.8
192.95,-254.8
203.52,-270
214.67,-285.9
226.43,-299.5
238.84,-311.3
251.93,-324.6
265.73,-339.3
280.29,-349.4
295.65,-358.5
311.85,-367.2
328.94,-372.8
346.96,-377.9
365.97,-385.7
386.03,-390.5
407.18,-395.9
429.49,-398.4
453.02,-401.2
477.85,-404.9
504.03,-410.2
531.65,-413.8
560.78,-417.4
591.51,-421.7
623.92,-427.9
658.1,-432.1
694.16,-434.2
732.2,-436.8
772.32,-436.7
814.64,-434.7
859.28,-431.1
906.36,-428
956.02,-429
1008.41,-430.2
1063.66,-432.9
1121.95,-435.7
1183.42,-436.6
1248.27,-434.7
1316.66,-428.5
1388.81,-424.6
1464.91,-423.8
1545.18,-426.7
1629.84,-429.7
1719.15,-429.4
1813.35,-426.8
1912.71,-427.3
2017.52,-431.2
2128.06,-430.7
2244.67,-422
2367.66,-415.1
2497.4,-412.8
2634.24,-405.9
2778.58,-394.7
2930.83,-388.8
3091.43,-380.5
3260.82,-368.1
3439.49,-359.6
3627.96,-345.9
3826.75,-330.3
4036.43,-312.9
4257.6,-297.9
4490.9,-285.2
4736.97,-273.2
4996.53,-262.7
5270.31,-250.1
5559.09,-241.7
5863.7,-229.3
6185,-217
6523.9,-208.8
6881.37,-198.3
7258.43,-185
7656.15,-171.4
8075.66,-158.5
8518.16,-145.8
8984.91,-132.3
9477.23,-117.3
9996.53,-99.7
10544.28,-80.2
11122.05,-61.1
11731.47,-39.2
12374.29,-8.4
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
