# default s1 SPL 4x
freq,value
35,89.3
36.92,91.6
38.94,93.8
41.07,96
43.33,98.2
45.7,100.2
48.2,102.2
50.84,103.9
53.63,105.4
56.57,106.7
59.67,107.6
62.94,108.2
66.39,108.6
70.02,108.8
73.86,108.9
77.91,108.9
82.18,108.9
86.68,108.8
91.43,108.7
96.44,108.6
101.72,108.4
107.3,108.2
113.18,108
119.38,107.7
125.92,107.4
132.82,107
140.1,106.4
147.77,106.1
155.87,105.3
164.41,104.2
173.42,102.8
182.92,101.1
192.95,99.3
203.52,97.3
214.67,95.2
226.43,93
238.84,90.8
251.93,88.4
265.73,85.8
280.29,82.9
295.65,79.9
311.85,76.9
328.94,74
346.96,71.4
365.97,68.8
386.03,66.1
407.18,63.1
429.49,60.3
453.02,57.8
477.85,55.6
504.03,53.1
531.65,50.4
560.78,47.9
591.51,45.6
623.92,42.8
658.1,39.7
694.16,36.9
732.2,33.7
772.32,30.3
814.64,27.6
859.28,24.6
906.36,22.8
956.02,20.7
1008.41,18.3
1063.66,16.2
1121.95,13.2
1183.42,10.2
1248.27,6.9
1316.66,4.1
1388.81,2.3
1464.91,0.4
1545.18,-1.7
1629.84,-4.5
1719.15,-7.6
1813.35,-10.3
1912.71,-12.5
2017.52,-15.5
2128.06,-19.7
2244.67,-23.4
2367.66,-25.6
2497.4,-28.5
2634.24,-32.5
2778.58,-35.1
2930.83,-37.4
3091.43,-41.2
3260.82,-43.6
3439.49,-46.2
3627.96,-49.8
3826.75,-51.6
4036.43,-54.5
4257.6,-54.9
4490.9,-57.2
4736.97,-57.6
4996.53,-59.9
5270.31,-60.7
5559.09,-62.2
5863.7,-64.1
6185,-64.9
6523.9,-66.2
6881.37,-68.1
7258.43,-69.7
7656.15,-71
8075.66,-72.2
8518.16,-73.5
8984.91,-74.9
9477.23,-76.4
9996.53,-78
10544.28,-79.2
11122.05,-80.2
11731.47,-81.8
12374.29,-83.4
13052.33,-84.4
13767.52,-86
14521.9,-87.5
15317.62,-88.6
16156.94,-89.9
17042.24,-91.4
17976.06,-92.8
18961.04,-94.1
20000,-95.8
