# default s1 SPL
freq,value
35,55.4
36.92,57.7
38.94,60
41.07,62.3
43.33,64.6
45.7,66.9
48.2,69.2
50.84,71.5
53.63,73.8
56.57,76.1
59.67,78.4
62.94,80.7
66.39,83
70.02,85.3
73.86,87.6
77.91,89.8
82.18,92
86.68,94.2
91.43,96.3
96.44,98.3
101.72,100
107.3,101.6
113.18,102.8
119.38,103.8
125.92,104.4
132.82,104.9
140.1,105.2
147.77,105.4
155.87,105.6
164.41,105.7
173.42,105.8
182.92,105.9
192.95,106
203.52,106.1
214.67,106.1
226.43,106.1
238.84,106.1
251.93,106.1
265.73,105.9
280.29,106
295.65,105.5
311.85,104.8
328.94,103.9
346.96,102.7
365.97,101.4
386.03,99.8
407.18,98
429.49,96
453.02,93.8
477.85,91.4
504.03,88.8
531.65,86.1
560.78,83.2
591.51,80.4
623.92,77.9
658.1,75.6
694.16,73.4
732.2,71.1
772.32,68.5
814.64,65.8
859.28,63
906.36,60.5
956.02,57.4
1008.41,54.2
1063.66,51.3
1121.95,49.1
1183.42,47
1248.27,44.6
1316.66,42
1388.81,39
1464.91,35.8
1545.18,33.3
1629.84,31.5
1719.15,29.3
1813.35,26.4
1912.71,22.7
2017.52,19.7
2128.06,17.3
2244.67,14.3
2367.66,10.4
2497.4,7.6
2634.24,5.4
2778.58,1.9
2930.83,-1.2
3091.43,-3.2
3260.82,-6.8
3439.49,-9.4
3627.96,-11.7
3826.75,-15.3
4036.43,-17.2
4257.6,-21
4490.9,-22.8
4736.97,-26.5
4996.53,-28.5
5270.31,-31.8
5559.09,-34.7
5863.7,-36.8
6185,-40.1
6523.9,-43.1
6881.37,-45.6
7258.43,-48
7656.15,-50.8
8075.66,-52.5
8518.16,-54
8984.91,-55.3
9477.23,-56.6
9996.53,-58
10544.28,-59.6
11122.05,-61.3
11731.47,-62.3
12374.29,-63.8
13052.33,-65.3
13767.52,-66.6
14521.9,-67.8
15317.62,-69.5
16156.94,-71
17042.24,-72.3
17976.06,-73.8
18961.04,-75.1
20000,-76.2
