# alt-18s hr SPL
freq,value
35,63.9
36.92,66.2
38.94,68.6
41.07,70.9
43.33,73.3
45.7,75.6
48.2,77.9
50.84,80.2
53.63,82.6
56.57,84.9
59.67,87.2
62.94,89.5
66.39,91.7
70.02,93.9
73.86,96
77.91,97.9
82.18,99.7
86.68,101.1
91.43,102.3
96.44,103.1
101.72,103.7
107.3,104.1
113.18,104.4
119.38,104.5
125.92,104.6
132.82,104.6
140.1,104.6
147.77,104.5
155.87,104.4
164.41,104.3
173.42,104.1
182.92,103.9
192.95,103.6
203.52,103.3
214.67,102.8
226.43,102.5
238.84,101.7
251.93,100.7
265.73,99.5
280.29,98.1
295.65,96.6
311.85,95
328.94,93.3
346.96,91.5
365.97,89.7
386.03,87.6
407.18,85.4
429.49,83
453.02,80.6
477.85,78.2
504.03,75.8
531.65,73.5
560.78,71
591.51,68.1
623.92,64.9
658.1,61.7
694.16,58.7
732.2,55.8
772.32,52.9
814.64,50.1
859.28,47.7
906.36,46.1
956.02,43.8
1008.41,41
1063.66,38.3
1121.95,35.1
1183.42,31.7
1248.27,29
1316.66,26.8
1388.81,24.8
1464.91,22.8
1545.18,19.7
1629.84,16.6
1719.15,13.6
1813.35,11.8
1912.71,9.4
2017.52,5.9
2128.06,2
2244.67,-0.8
2367.66,-2.9
2497.4,-6.5
2634.24,-10.1
2778.58,-12
2930.83,-15.1
3091.43,-18.6
3260.82,-20.4
3439.49,-23.9
3627.96,-26.6
3826.75,-29.1
4036.43,-32.6
4257.6,-34.5
4490.9,-38.1
4736.97,-40.2
4996.53,-43.4
5270.31,-46.3
5559.09,-48.4
5863.7,-52
6185,-54.3
6523.9,-55.2
6881.37,-56.8
7258.43,-58.6
7656.15,-60.1
8075.66,-61.5
8518.16,-62.8
8984.91,-64.2
9477.23,-65.6
9996.53,-66.9
10544.28,-67.9
11122.05,-69.2
11731.47,-71.1
12374.29,-72.1
13052.33,-73.7
13767.52,-74.9
14521.9,-76.7
15317.62,-77.8
16156.94,-79
17042.24,-80.3
17976.06,-81.7
18961.04,-83.3
20000,-85
