# default rew SPL
freq,value
35,76
36.92,78.3
38.94,80.6
41.07,82.7
43.33,85
45.7,87.1
48.2,89.3
50.84,91.4
53.63,93.3
56.57,94.9
59.67,96.4
62.94,97.3
66.39,98.5
70.02,99.3
73.86,99.5
77.91,99.9
82.18,100.1
86.68,100.5
91.43,100.6
96.44,100.9
101.72,101.2
107.3,100.7
113.18,100.7
119.38,100.7
125.92,101
132.82,100.8
140.1,100.4
147.77,100.5
155.87,100.4
164.41,99.8
173.42,99.5
182.92,98.4
192.95,97
203.52,95.9
214.67,94
226.43,92.3
238.84,90
251.93,88.2
265.73,85.7
280.29,83.5
295.65,81
311.85,78.4
328.94,75
346.96,72.2
365.97,69.4
386.03,66.9
407.18,64
429.49,61.8
453.02,58.9
477.85,56.2
504.03,53.8
531.65,51.3
560.78,49.2
591.51,46.2
623.92,43.7
658.1,41.7
694.16,38.6
732.2,35.1
772.32,32.3
814.64,29.3
859.28,25.9
906.36,24
956.02,21.1
1008.41,19.4
1063.66,17
1121.95,14.3
1183.42,11.7
1248.27,7.8
1316.66,5.1
1388.81,2.4
1464.91,0.8
1545.18,-1.1
1629.84,-4
1719.15,-7.5
1813.35,-10.1
1912.71,-12.3
2017.52,-14.8
2128.06,-18.5
2244.67,-22.3
2367.66,-24.9
2497.4,-27
2634.24,-31.2
2778.58,-34.4
2930.83,-36.1
3091.43,-39.7
3260.82,-42.7
3439.49,-44.7
3627.96,-48.6
3826.75,-50.2
4036.43,-53.6
4257.6,-55.9
4490.9,-58.2
4736.97,-58.7
4996.53,-61.5
5270.31,-61.7
5559.09,-63.7
5863.7,-65.6
6185,-66.2
6523.9,-67.5
6881.37,-69.5
7258.43,-71.1
7656.15,-72.3
8075.66,-73.3
8518.16,-74.2
8984.91,-75.9
9477.23,-77.7
9996.53,-79.3
10544.28,-80.7
11122.05,-81.7
11731.47,-83.2
12374.29,-84.5
13052.33,-85.8
13767.52,-87.5
14521.9,-89
15317.62,-89.5
16156.94,-91.2
17042.24,-93
17976.06,-94
18961.04,-95.2
20000,-96.9
