# default rew SPL
freq,value
35,73.7
36.92,76
38.94,77.8
41.07,80.2
43.33,82.7
45.7,84.7
48.2,86.7
50.84,88.7
53.63,90.7
56.57,92.6
59.67,94.3
62.94,95.2
66.39,96.2
70.02,97.1
73.86,97.3
77.91,98.1
82.18,98.2
86.68,98
91.43,98.3
96.44,98.4
101.72,98.4
107.3,98.6
113.18,98.4
119.38,98.2
125.92,98.4
132.82,97.9
140.1,97.8
147.77,97.3
155.87,97.2
164.41,96.3
173.42,95.6
182.92,94.8
192.95,94.1
203.52,92.8
214.67,90.8
226.43,89.2
238.84,87.1
251.93,84.3
265.73,82
280.29,79.2
295.65,76.8
311.85,74.6
328.94,71.7
346.96,69.4
365.97,66.2
386.03,63.3
407.18,61.1
429.49,58.4
453.02,56.5
477.85,54.1
504.03,51.1
531.65,48.7
560.78,46.4
591.51,44.1
623.92,40.9
658.1,38.1
694.16,34.9
732.2,31.8
772.32,28.5
814.64,25.9
859.28,23.3
906.36,21
956.02,19.3
1008.41,17.1
1063.66,14.7
1121.95,11.4
1183.42,8.1
1248.27,5
1316.66,2.2
1388.81,0.3
1464.91,-1.1
1545.18,-3.6
1629.84,-6.8
1719.15,-9.9
1813.35,-11.9
1912.71,-14.1
2017.52,-17.4
2128.06,-21.5
2244.67,-24.8
2367.66,-27.2
2497.4,-30
2634.24,-34.1
2778.58,-36.3
2930.83,-38.9
3091.43,-43
3260.82,-45.1
3439.49,-48.1
3627.96,-51.5
3826.75,-53
4036.43,-56.8
4257.6,-58.9
4490.9,-61.5
4736.97,-61.9
4996.53,-64.4
5270.31,-65.2
5559.09,-66.1
5863.7,-68.5
6185,-69.3
6523.9,-70.3
6881.37,-72.6
7258.43,-73.8
7656.15,-75.6
8075.66,-76.7
8518.16,-78
8984.91,-79.4
9477.23,-81
9996.53,-82.6
10544.28,-83.5
11122.05,-84.2
11731.47,-86.1
12374.29,-87.6
13052.33,-88.9
13767.52,-90.4
14521.9,-91.9
15317.62,-92.9
16156.94,-94.2
17042.24,-95.8
17976.06,-96.7
18961.04,-98.3
20000,-100.1
