# default s1 group delay
freq,value
35,0
36.92,0
38.94,0
41.07,0
43.33,0
45.7,0
48.2,0.59
50.84,6.81
53.63,8.28
56.57,8.28
59.67,8.28
62.94,8.28
66.39,8.28
70.02,8.14
73.86,7.28
77.91,6.6
82.18,6.6
86.68,6.6
91.43,6.6
96.44,6.1
101.72,5.48
107.3,5.33
113.18,5.33
119.38,5.1
125.92,4.72
132.82,4.57
140.1,4.61
147.77,4.85
155.87,5.04
164.41,4.9
173.42,4.41
182.92,4.07
192.95,4.16
203.52,4.27
214.67,4.08
226.43,3.7
238.84,3.51
251.93,3.44
265.73,2.93
280.29,2.33
295.65,2.07
311.85,1.74
328.94,1.47
346.96,1.48
365.97,1.29
386.03,0.97
407.18,0.69
429.49,0.42
453.02,0.36
477.85,0.41
504.03,0.41
531.65,0.31
560.78,0.26
591.51,0.39
623.92,0.52
658.1,0.37
694.16,0.17
732.2,0.16
772.32,0.11
814.64,0
859.28,0
906.36,0
956.02,0.06
1008.41,0.17
1063.66,0.16
1121.95,0.05
1183.42,0
1248.27,0
1316.66,0
1388.81,0.19
1464.91,0.2
1545.18,0.04
1629.84,0
1719.15,0
1813.35,0.02
1912.71,0
2017.52,0
2128.06,0
2244.67,0
2367.66,0
2497.4,0
2634.24,0
2778.58,0
2930.83,0
3091.43,0
3260.82,0
3439.49,0
3627.96,0
3826.75,0
4036.43,0
4257.6,0
4490.9,0
4736.97,0
4996.53,0
5270.31,0
5559.09,0
5863.7,0
6185,0
6523.9,0
6881.37,0
7258.43,0
7656.15,0
8075.66,0
8518.16,0
8984.91,0
9477.23,0
9996.53,0
10544.28,0
11122.05,0
11731.47,0
12374.29,0
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
