# default s1 power compression
freq,value
35,79.3
36.92,81.5
38.94,83.8
41.07,86
43.33,88.2
45.7,90.4
48.2,92.6
50.84,94.6
53.63,96.5
56.57,98.3
59.67,99.8
62.94,101
66.39,102
70.02,102.6
73.86,103
77.91,103.3
82.18,103.4
86.68,103.5
91.43,103.5
96.44,103.6
101.72,103.6
107.3,103.6
113.18,103.5
119.38,103.5
125.92,103.4
132.82,103.3
140.1,103.2
147.77,102.9
155.87,102.6
164.41,102
173.42,101.3
182.92,100.5
192.95,99.6
203.52,98.5
214.67,97.3
226.43,95.8
238.84,94.1
251.93,92.1
265.73,89.8
280.29,87.2
295.65,84.5
311.85,81.8
328.94,79.2
346.96,76.6
365.97,73.8
386.03,70.9
407.18,67.7
429.49,64.6
453.02,61.9
477.85,59.5
504.03,57
531.65,54.3
560.78,51.8
591.51,49.6
623.92,47.4
658.1,44.5
694.16,41.4
732.2,38.6
772.32,35.9
814.64,32.6
859.28,30.1
906.36,27.6
956.02,25.5
1008.41,23.6
1063.66,20.8
1121.95,18.1
1183.42,14.6
1248.27,12.2
1316.66,10.1
1388.81,8.6
1464.91,6
1545.18,2.4
1629.84,-1
1719.15,-3.7
1813.35,-6.4
1912.71,-10.1
2017.52,-13.9
2128.06,-16.1
2244.67,-18.7
2367.66,-22.6
2497.4,-25.1
2634.24,-27.4
2778.58,-31.4
2930.83,-33.3
3091.43,-36.5
3260.82,-39.4
3439.49,-41.8
3627.96,-45.1
3826.75,-47.4
4036.43,-50.6
4257.6,-53.2
4490.9,-54.6
4736.97,-56.8
4996.53,-57.4
5270.31,-58.8
5559.09,-60.9
5863.7,-62.2
6185,-63.2
6523.9,-64.3
6881.37,-65.6
7258.43,-67
7656.15,-68.5
8075.66,-69.9
8518.16,-71.5
8984.91,-73.3
9477.23,-74.5
9996.53,-75.5
10544.28,-77.5
11122.05,-78.3
11731.47,-80.3
12374.29,-81.2
13052.33,-82.6
13767.52,-84.2
14521.9,-85.7
15317.62,-87
16156.94,-88.2
17042.24,-89.6
17976.06,-91.3
18961.04,-92.3
20000,-93.9
