# default s1 SPL
freq,value
35,80.2
36.92,82.5
38.94,84.9
41.07,87.2
43.33,89.5
45.7,91.7
48.2,93.9
50.84,95.9
53.63,97.8
56.57,99.5
59.67,100.9
62.94,102
66.39,102.8
70.02,103.4
73.86,103.8
77.91,104
82.18,104.2
86.68,104.3
91.43,104.4
96.44,104.5
101.72,104.5
107.3,104.5
113.18,104.5
119.38,104.4
125.92,104.3
132.82,104.1
140.1,103.9
147.77,103.5
155.87,103.2
164.41,102.4
173.42,101.3
182.92,100
192.95,98.6
203.52,96.9
214.67,95.2
226.43,93.3
238.84,91.3
251.93,89.2
265.73,86.9
280.29,84.3
295.65,81.6
311.85,78.9
328.94,76.4
346.96,74.1
365.97,72
386.03,69.6
407.18,66.9
429.49,64.1
453.02,61.3
477.85,58.7
504.03,55.9
531.65,52.7
560.78,49.4
591.51,46.7
623.92,44.8
658.1,42.1
694.16,39.7
732.2,37.7
772.32,35
814.64,31.9
859.28,29.1
906.36,25.9
956.02,23.6
1008.41,21.7
1063.66,19.6
1121.95,17.1
1183.42,13.7
1248.27,10.7
1316.66,8.2
1388.81,5.4
1464.91,2
1545.18,-1.9
1629.84,-4.5
1719.15,-6.8
1813.35,-10.5
1912.71,-13.6
2017.52,-15.7
2128.06,-19.2
2244.67,-22
2367.66,-24.2
2497.4,-27.9
2634.24,-29.8
2778.58,-33.2
2930.83,-35.5
3091.43,-38.9
3260.82,-41
3439.49,-44.6
3627.96,-46.5
3826.75,-49.9
4036.43,-52.7
4257.6,-54.2
4490.9,-55.9
4736.97,-57.7
4996.53,-59
5270.31,-60
5559.09,-61.2
5863.7,-62.6
6185,-64
6523.9,-65.5
6881.37,-67.1
7258.43,-68.7
7656.15,-69.9
8075.66,-71
8518.16,-72.9
8984.91,-73.8
9477.23,-75.6
9996.53,-76.6
10544.28,-78.1
11122.05,-79.7
11731.47,-81.2
12374.29,-82.5
13052.33,-83.8
13767.52,-84.9
14521.9,-86.7
15317.62,-87.8
16156.94,-89.5
17042.24,-90.8
17976.06,-92.1
18961.04,-93.6
20000,-95
