# default s1 SPL
freq,value
35,91.5
36.92,93.5
38.94,95.3
41.07,96.9
43.33,98.3
45.7,99.3
48.2,100
50.84,100.5
53.63,100.8
56.57,101
59.67,101.1
62.94,101.1
66.39,101.1
70.02,101
73.86,101
77.91,100.9
82.18,100.8
86.68,100.6
91.43,100.5
96.44,100.2
101.72,99.9
107.3,99.5
113.18,98.7
119.38,98.2
125.92,97.6
132.82,96.8
140.1,95.8
147.77,94.4
155.87,92.8
164.41,90.8
173.42,88.7
182.92,86.5
192.95,84.3
203.52,82.3
214.67,80.2
226.43,78.1
238.84,75.7
251.93,73
265.73,70.1
280.29,67.4
295.65,64.8
311.85,62.3
328.94,59.4
346.96,56.1
365.97,52.8
386.03,50
407.18,47.3
429.49,44.3
453.02,41.3
477.85,39.1
504.03,36.9
531.65,34.2
560.78,32
591.51,29.6
623.92,27.2
658.1,24.4
694.16,21
732.2,17.9
772.32,15.5
814.64,13.2
859.28,11.6
906.36,9.3
956.02,6.7
1008.41,3.6
1063.66,0.6
1121.95,-1.1
1183.42,-2.8
1248.27,-5.6
1316.66,-9.6
1388.81,-13.5
1464.91,-16.1
1545.18,-18.6
1629.84,-22.6
1719.15,-26.3
1813.35,-28.3
1912.71,-31.3
2017.52,-35.3
2128.06,-37.2
2244.67,-40.1
2367.66,-43.7
2497.4,-45.3
2634.24,-49.4
2778.58,-51.1
2930.83,-54.8
3091.43,-56.2
3260.82,-58.5
3439.49,-58.8
3627.96,-61.3
3826.75,-61.9
4036.43,-63.3
4257.6,-65.4
4490.9,-66.5
4736.97,-67.3
4996.53,-68.8
5270.31,-70.6
5559.09,-72.2
5863.7,-73.7
6185,-75
6523.9,-76.2
6881.37,-77.3
7258.43,-78.5
7656.15,-80.3
8075.66,-82
8518.16,-82.7
8984.91,-84.8
9477.23,-85.5
9996.53,-87.5
10544.28,-88.8
11122.05,-89.9
11731.47,-91.2
12374.29,-92.6
13052.33,-94.2
13767.52,-95.8
14521.9,-96.7
15317.62,-98.6
16156.94,-99.5
17042.24,-101
17976.06,-102.5
18961.04,-103.7
20000,-105.2
