# default s1 SPL
freq,value
35,86.9
36.92,89.2
38.94,91.4
41.07,93.7
43.33,95.9
45.7,98
48.2,100
50.84,101.9
53.63,103.6
56.57,105
59.67,106.1
62.94,106.9
66.39,107.4
70.02,107.7
73.86,107.9
77.91,108
82.18,108.1
86.68,108.1
91.43,108.1
96.44,108.1
101.72,108
107.3,107.9
113.18,107.9
119.38,107.7
125.92,107.6
132.82,107.4
140.1,107.1
147.77,107
155.87,106.5
164.41,105.7
173.42,104.7
182.92,103.5
192.95,102.1
203.52,100.6
214.67,98.9
226.43,97.3
238.84,95.5
251.93,93.5
265.73,91.2
280.29,88.7
295.65,85.9
311.85,83
328.94,80.1
346.96,77.4
365.97,74.7
386.03,71.8
407.18,68.7
429.49,65.6
453.02,62.9
477.85,60.7
504.03,58.3
531.65,55.7
560.78,53.2
591.51,50.9
623.92,48.6
658.1,45.2
694.16,42.2
732.2,39.3
772.32,36.3
814.64,34.2
859.28,32.3
906.36,29.8
956.02,27.3
1008.41,23.9
1063.66,21.2
1121.95,18.7
1183.42,17.1
1248.27,14.3
1316.66,10.7
1388.81,6.9
1464.91,4.3
1545.18,2.1
1629.84,-1.7
1719.15,-5.3
1813.35,-7.3
1912.71,-10.1
2017.52,-13.8
2128.06,-15.8
2244.67,-18.7
2367.66,-22.2
2497.4,-24
2634.24,-27.9
2778.58,-29.8
2930.83,-33.2
3091.43,-35.5
3260.82,-38.9
3439.49,-40.9
3627.96,-44.5
3826.75,-46.7
4036.43,-49.1
4257.6,-51.2
4490.9,-52.2
4736.97,-53.1
4996.53,-54.6
5270.31,-56.3
5559.09,-57.9
5863.7,-59.4
6185,-60.7
6523.9,-62
6881.37,-63.1
7258.43,-64.3
7656.15,-66
8075.66,-67.7
8518.16,-68.5
8984.91,-70.5
9477.23,-71.3
9996.53,-73.2
10544.28,-74.5
11122.05,-75.6
11731.47,-76.9
12374.29,-78.3
13052.33,-79.9
13767.52,-81.5
14521.9,-82.5
15317.62,-84.3
16156.94,-85.3
17042.24,-86.7
17976.06,-88.2
18961.04,-89.5
20000,-90.9
