# alt-18s rew SPL
freq,value
35,88.9
36.92,89.4
38.94,89.7
41.07,90
43.33,90.2
45.7,90.2
48.2,90.9
50.84,90.8
53.63,91
56.57,91.5
59.67,91.8
62.94,92.3
66.39,92.5
70.02,92.4
73.86,92.9
77.91,92.9
82.18,92.7
86.68,93.4
91.43,93.5
96.44,93.5
101.72,93.8
107.3,93.6
113.18,93.7
119.38,93.9
125.92,94.1
132.82,94.4
140.1,94.8
147.77,95.1
155.87,95.2
164.41,95.1
173.42,95.2
182.92,95.7
192.95,95.9
203.52,96.1
214.67,96.5
226.43,96.8
238.84,96.8
251.93,97.3
265.73,97.3
280.29,97.9
295.65,98
311.85,98.2
328.94,98.9
346.96,98.7
365.97,98.9
386.03,98.9
407.18,99
429.49,99.2
453.02,98.9
477.85,98.6
504.03,98.5
531.65,98.5
560.78,98.4
591.51,98.1
623.92,98.3
658.1,98.3
694.16,98.9
732.2,99.1
772.32,99.6
814.64,100.2
859.28,100
906.36,100.1
956.02,100
1008.41,99.5
1063.66,99.4
1121.95,99.5
1183.42,100.5
1248.27,101
1316.66,101.2
1388.81,101.5
1464.91,100.8
1545.18,100.8
1629.84,101.5
1719.15,102.9
1813.35,102.6
1912.71,101.2
2017.52,100.7
2128.06,100.5
2244.67,99.8
2367.66,98.3
2497.4,97.1
2634.24,97.2
2778.58,95.9
2930.83,93.9
3091.43,93.9
3260.82,92.1
3439.49,91
3627.96,90
3826.75,88.2
4036.43,87.8
4257.6,85.5
4490.9,85.1
4736.97,82.9
4996.53,82.2
5270.31,80.1
5559.09,78.5
5863.7,78
6185,76.1
6523.9,74.6
6881.37,73.6
7258.43,72.3
7656.15,70.8
8075.66,69.5
8518.16,68.2
8984.91,66.3
9477.23,65
9996.53,64.2
10544.28,62.6
11122.05,60.6
11731.47,59.7
12374.29,58.3
13052.33,56.4
13767.52,55.2
14521.9,54.2
15317.62,52.5
16156.94,50.9
17042.24,49.7
17976.06,48.4
18961.04,46.8
20000,45.5
