# default rew SPL
freq,value
35,94.5
36.92,94.3
38.94,95.1
41.07,95.5
43.33,95.8
45.7,95.9
48.2,95.9
50.84,96.2
53.63,96.6
56.57,97
59.67,96.9
62.94,97.4
66.39,97.8
70.02,97.7
73.86,98.2
77.91,98.4
82.18,98.6
86.68,98.7
91.43,99
96.44,99
101.72,99.6
107.3,99.7
113.18,99.5
119.38,99.9
125.92,100.2
132.82,100.6
140.1,100.5
147.77,100.6
155.87,101.1
164.41,101.5
173.42,101.5
182.92,101.7
192.95,101.9
203.52,102.1
214.67,102.3
226.43,102.8
238.84,102.9
251.93,102.9
265.73,103.7
280.29,103.6
295.65,103.6
311.85,103.7
328.94,103.7
346.96,103.8
365.97,103.8
386.03,103.5
407.18,103.9
429.49,103.4
453.02,103.3
477.85,103.2
504.03,102.6
531.65,102.5
560.78,103
591.51,103
623.92,103.3
658.1,103.7
694.16,104.1
732.2,104.6
772.32,104.6
814.64,104.5
859.28,104.5
906.36,104
956.02,103.7
1008.41,104.1
1063.66,104.1
1121.95,105.2
1183.42,105.6
1248.27,105.5
1316.66,105.6
1388.81,105
1464.91,104.5
1545.18,105.7
1629.84,106.7
1719.15,107
1813.35,106.1
1912.71,105.2
2017.52,105.1
2128.06,104.9
2244.67,103.6
2367.66,102.1
2497.4,101.9
2634.24,101.8
2778.58,99.6
2930.83,99.1
3091.43,98.4
3260.82,96.5
3439.49,96.2
3627.96,94.2
3826.75,92.9
4036.43,92.4
4257.6,90.2
4490.9,89.8
4736.97,87.3
4996.53,86.5
5270.31,85.3
5559.09,83
5863.7,82.8
6185,81.1
6523.9,78.9
6881.37,78
7258.43,76.9
7656.15,75.8
8075.66,74.5
8518.16,72.6
8984.91,71.2
9477.23,70.4
9996.53,68.9
10544.28,66.5
11122.05,65.4
11731.47,64.6
12374.29,62.8
13052.33,61.6
13767.52,59.9
14521.9,58.9
15317.62,57.4
16156.94,55.8
17042.24,54
17976.06,53
18961.04,51.8
20000,50.3
