# alt-18s hr SPL
freq,value
35,88
36.92,88.4
38.94,88.8
41.07,89.2
43.33,89.6
45.7,90
48.2,90.3
50.84,90.7
53.63,91.1
56.57,91.4
59.67,91.8
62.94,92.1
66.39,92.4
70.02,92.7
73.86,93
77.91,93.3
82.18,93.6
86.68,93.9
91.43,94.1
96.44,94.3
101.72,94.5
107.3,94.7
113.18,94.9
119.38,95.1
125.92,95.2
132.82,95.4
140.1,95.5
147.77,95.6
155.87,95.7
164.41,95.8
173.42,95.8
182.92,95.9
192.95,96
203.52,96.1
214.67,96.2
226.43,96.3
238.84,96.4
251.93,96.5
265.73,96.7
280.29,96.9
295.65,97.1
311.85,97.3
328.94,97.6
346.96,97.9
365.97,98.3
386.03,98.6
407.18,98.9
429.49,99.2
453.02,99.4
477.85,99.5
504.03,99.5
531.65,99.4
560.78,99.2
591.51,98.9
623.92,98.6
658.1,98.4
694.16,98.3
732.2,98.4
772.32,98.7
814.64,99.2
859.28,99.7
906.36,100.5
956.02,100.6
1008.41,100.4
1063.66,99.9
1121.95,99.5
1183.42,99.5
1248.27,100.1
1316.66,100.9
1388.81,101.5
1464.91,101.4
1545.18,100.8
1629.84,100.7
1719.15,101.4
1813.35,102.1
1912.71,101.6
2017.52,100.1
2128.06,99.3
2244.67,99.5
2367.66,98.7
2497.4,96.8
2634.24,96.3
2778.58,96.2
2930.83,94.1
3091.43,93.2
3260.82,92.8
3439.49,90.4
3627.96,90.2
3826.75,88.3
4036.43,87.2
4257.6,85.8
4490.9,84.5
4736.97,82.9
4996.53,82.1
5270.31,79.9
5559.09,79.4
5863.7,77.6
6185,75.8
6523.9,75
6881.37,73.9
7258.43,72.2
7656.15,70.5
8075.66,68.9
8518.16,67.5
8984.91,66.1
9477.23,64.9
9996.53,63.8
10544.28,62.6
11122.05,60.9
11731.47,59.2
12374.29,58.4
13052.33,56.5
13767.52,55.6
14521.9,53.8
15317.62,52.4
16156.94,51.2
17042.24,49.9
17976.06,48.5
18961.04,46.9
20000,45.5
