# default s1 SPL
freq,value
35,87.3
36.92,87.7
38.94,88.1
41.07,88.5
43.33,88.8
45.7,89.2
48.2,89.6
50.84,89.9
53.63,90.2
56.57,90.6
59.67,90.9
62.94,91.2
66.39,91.4
70.02,91.7
73.86,92
77.91,92.2
82.18,92.5
86.68,92.7
91.43,92.9
96.44,93.1
101.72,93.3
107.3,93.5
113.18,93.6
119.38,93.8
125.92,94
132.82,94.1
140.1,94.3
147.77,94.5
155.87,94.7
164.41,94.8
173.42,95
182.92,95.2
192.95,95.4
203.52,95.6
214.67,95.9
226.43,96.1
238.84,96.4
251.93,96.7
265.73,96.9
280.29,97.2
295.65,97.4
311.85,97.7
328.94,97.9
346.96,98
365.97,98.1
386.03,98.1
407.18,98.1
429.49,97.9
453.02,97.7
477.85,97.5
504.03,97.3
531.65,97
560.78,96.9
591.51,96.9
623.92,97
658.1,97.3
694.16,97.7
732.2,98.2
772.32,98.6
814.64,98.8
859.28,98.7
906.36,98.7
956.02,98.2
1008.41,97.9
1063.66,97.8
1121.95,98.3
1183.42,99
1248.27,99.6
1316.66,99.7
1388.81,99.2
1464.91,98.7
1545.18,98.9
1629.84,99.8
1719.15,100.6
1813.35,100.1
1912.71,98.9
2017.52,98.4
2128.06,98.7
2244.67,98.1
2367.66,96.2
2497.4,95.6
2634.24,95.7
2778.58,94
2930.83,92.6
3091.43,92.6
3260.82,90.5
3439.49,89.5
3627.96,88.8
3826.75,86.5
4036.43,86.3
4257.6,83.9
4490.9,83.6
4736.97,81.2
4996.53,80.7
5270.31,78.9
5559.09,77.3
5863.7,76.7
6185,74.7
6523.9,73
6881.37,72.1
7258.43,71.1
7656.15,69.6
8075.66,68.1
8518.16,66.6
8984.91,65.3
9477.23,64
9996.53,62.7
10544.28,61
11122.05,59.2
11731.47,58.3
12374.29,56.8
13052.33,55.3
13767.52,53.9
14521.9,52.8
15317.62,51
16156.94,49.5
17042.24,48.2
17976.06,46.8
18961.04,45.4
20000,44.4
