# default s1 SPL
freq,value
35,94.4
36.92,94.8
38.94,95.3
41.07,95.7
43.33,96.1
45.7,96.5
48.2,96.8
50.84,97.2
53.63,97.6
56.57,97.9
59.67,98.3
62.94,98.6
66.39,98.9
70.02,99.2
73.86,99.5
77.91,99.8
82.18,100
86.68,100.3
91.43,100.5
96.44,100.7
101.72,100.9
107.3,101
113.18,101.2
119.38,101.3
125.92,101.4
132.82,101.5
140.1,101.6
147.77,101.7
155.87,101.7
164.41,101.8
173.42,101.8
182.92,101.8
192.95,101.8
203.52,101.8
214.67,101.8
226.43,101.8
238.84,101.8
251.93,101.8
265.73,101.9
280.29,102
295.65,102.1
311.85,102.2
328.94,102.4
346.96,102.6
365.97,102.8
386.03,103.1
407.18,103.5
429.49,103.8
453.02,104
477.85,104.3
504.03,104.4
531.65,104.5
560.78,104.4
591.51,104.2
623.92,103.9
658.1,103.5
694.16,103.3
732.2,103.1
772.32,103.2
814.64,103.5
859.28,104
906.36,105
956.02,105.3
1008.41,105.3
1063.66,104.9
1121.95,104.5
1183.42,104.2
1248.27,104.4
1316.66,105.2
1388.81,105.9
1464.91,106.2
1545.18,105.7
1629.84,105.3
1719.15,105.6
1813.35,106.3
1912.71,106.3
2017.52,105
2128.06,103.8
2244.67,103.8
2367.66,103.5
2497.4,101.7
2634.24,100.7
2778.58,100.7
2930.83,99
3091.43,97.6
3260.82,97.4
3439.49,95.2
3627.96,94.6
3826.75,93.2
4036.43,91.6
4257.6,90.7
4490.9,88.9
4736.97,87.8
4996.53,86.5
5270.31,84.6
5559.09,84.1
5863.7,82
6185,80.5
6523.9,79.8
6881.37,78.4
7258.43,76.6
7656.15,75
8075.66,73.5
8518.16,72.1
8984.91,70.8
9477.23,69.4
9996.53,68.2
10544.28,67.2
11122.05,65.7
11731.47,63.9
12374.29,63
13052.33,61.2
13767.52,60.2
14521.9,58.4
15317.62,57.1
16156.94,56
17042.24,54.6
17976.06,53.2
18961.04,51.6
20000,50
