# default s1 phase
freq,value
35,24.6
36.92,25.9
38.94,27.3
41.07,28.8
43.33,30.4
45.7,32.1
48.2,33.8
50.84,34.2
53.63,34.1
56.57,34
59.67,33.9
62.94,33.9
66.39,33.8
70.02,33.7
73.86,33.5
77.91,32.9
82.18,32.3
86.68,31.6
91.43,30.9
96.44,30.2
101.72,29.2
107.3,28
113.18,26.8
119.38,25.5
125.92,24.3
132.82,23.2
140.1,22.1
147.77,20.9
155.87,19.4
164.41,17.9
173.42,16.4
182.92,15.3
192.95,14
203.52,12.7
214.67,11.2
226.43,10.1
238.84,9.2
251.93,8.2
265.73,7.2
280.29,6.8
295.65,6.5
311.85,6.2
328.94,6.3
346.96,6.6
365.97,6.9
386.03,7.5
407.18,7.8
429.49,8.1
453.02,7.9
477.85,7.3
504.03,6.1
531.65,4.2
560.78,1.5
591.51,-1.6
623.92,-4.9
658.1,-8.1
694.16,-10.3
732.2,-11.4
772.32,-11
814.64,-9.2
859.28,-5.8
906.36,-5
956.02,-8
1008.41,-12
1063.66,-17.5
1121.95,-22.8
1183.42,-26.1
1248.27,-26.5
1316.66,-25.4
1388.81,-26.3
1464.91,-31.6
1545.18,-40.7
1629.84,-49.2
1719.15,-54.7
1813.35,-59.9
1912.71,-69.9
2017.52,-83.2
2128.06,-91.5
2244.67,-93.5
2367.66,-98.4
2497.4,-107.6
2634.24,-111.3
2778.58,-112.7
2930.83,-120.1
3091.43,-123.7
3260.82,-125
3439.49,-130.5
3627.96,-131.3
3826.75,-133.8
4036.43,-135.2
4257.6,-135.9
4490.9,-136.4
4736.97,-136
4996.53,-136.2
5270.31,-133.3
5559.09,-134
5863.7,-130.7
6185,-126.2
6523.9,-125.6
6881.37,-123.3
7258.43,-117.5
7656.15,-110.7
8075.66,-104.4
8518.16,-98.1
8984.91,-91
9477.23,-82.2
9996.53,-71
10544.28,-58.4
11122.05,-46.3
11731.47,-30.7
12374.29,-6.9
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
