# default s1 SPL
freq,value
35,90.8
36.92,91.2
38.94,91.6
41.07,92
43.33,92.4
45.7,92.8
48.2,93.1
50.84,93.5
53.63,93.9
56.57,94.2
59.67,94.6
62.94,94.9
66.39,95.2
70.02,95.5
73.86,95.8
77.91,96.1
82.18,96.4
86.68,96.7
91.43,96.9
96.44,97.2
101.72,97.4
107.3,97.6
113.18,97.9
119.38,98.1
125.92,98.2
132.82,98.4
140.1,98.6
147.77,98.7
155.87,98.8
164.41,99
173.42,99
182.92,99.1
192.95,99.2
203.52,99.2
214.67,99.2
226.43,99.2
238.84,99.2
251.93,99.2
265.73,99.1
280.29,99
295.65,99
311.85,98.9
328.94,98.9
346.96,98.9
365.97,99
386.03,99.1
407.18,99.2
429.49,99.5
453.02,99.7
477.85,100.1
504.03,100.4
531.65,100.8
560.78,101
591.51,101.2
623.92,101.2
658.1,101
694.16,100.7
732.2,100.4
772.32,100.1
814.64,99.9
859.28,100
906.36,101.1
956.02,101.7
1008.41,102.2
1063.66,102.5
1121.95,102.4
1183.42,102
1248.27,101.6
1316.66,101.8
1388.81,102.6
1464.91,103.6
1545.18,104.1
1629.84,103.8
1719.15,103.4
1813.35,103.7
1912.71,104.1
2017.52,103.4
2128.06,101.7
2244.67,100.5
2367.66,100.5
2497.4,99.5
2634.24,97.6
2778.58,97.2
2930.83,96.6
3091.43,94.4
3260.82,93.9
3439.49,92.7
3627.96,90.8
3826.75,90.4
4036.43,88.1
4257.6,87.8
4490.9,85.4
4736.97,85
4996.53,82.8
5270.31,81.9
5559.09,80.6
5863.7,78.6
6185,77.8
6523.9,76.6
6881.37,74.7
7258.43,73.1
7656.15,71.7
8075.66,70.5
8518.16,69.2
8984.91,67.8
9477.23,66.3
9996.53,64.8
10544.28,63.6
11122.05,62.6
11731.47,60.8
12374.29,59.5
13052.33,58.3
13767.52,56.7
14521.9,55.2
15317.62,54.1
16156.94,52.8
17042.24,51.4
17976.06,50
18961.04,48.6
20000,46.9
