# default s1 SPL
freq,value
35,86.1
36.92,86.5
38.94,86.9
41.07,87.3
43.33,87.7
45.7,88.1
48.2,88.5
50.84,88.9
53.63,89.3
56.57,89.7
59.67,90.1
62.94,90.4
66.39,90.8
70.02,91.1
73.86,91.5
77.91,91.8
82.18,92.2
86.68,92.5
91.43,92.8
96.44,93.1
101.72,93.4
107.3,93.7
113.18,94
119.38,94.3
125.92,94.6
132.82,94.9
140.1,95.2
147.77,95.5
155.87,95.7
164.41,96
173.42,96.3
182.92,96.5
192.95,96.8
203.52,97.1
214.67,97.3
226.43,97.5
238.84,97.7
251.93,97.9
265.73,98.1
280.29,98.3
295.65,98.4
311.85,98.5
328.94,98.5
346.96,98.5
365.97,98.5
386.03,98.4
407.18,98.3
429.49,98.2
453.02,98.1
477.85,98.1
504.03,98.1
531.65,98.2
560.78,98.4
591.51,98.6
623.92,99
658.1,99.3
694.16,99.6
732.2,99.7
772.32,99.7
814.64,99.5
859.28,99.2
906.36,99.4
956.02,99.3
1008.41,99.4
1063.66,99.9
1121.95,100.4
1183.42,100.8
1248.27,100.8
1316.66,100.5
1388.81,100.2
1464.91,100.5
1545.18,101.2
1629.84,101.9
1719.15,101.9
1813.35,101.2
1912.71,100.7
2017.52,100.7
2128.06,100.3
2244.67,99
2367.66,97.8
2497.4,97.6
2634.24,96.8
2778.58,95.1
2930.83,94.6
3091.43,93.7
3260.82,91.8
3439.49,91.4
3627.96,89.6
3826.75,88.4
4036.43,87.3
4257.6,85.6
4490.9,84.6
4736.97,83
4996.53,81.6
5270.31,80.6
5559.09,78.6
5863.7,77.7
6185,76.5
6523.9,74.6
6881.37,73.2
7258.43,72.1
7656.15,70.9
8075.66,69.5
8518.16,68.1
8984.91,66.7
9477.23,65.3
9996.53,63.8
10544.28,62.1
11122.05,60.8
11731.47,59.8
12374.29,58
13052.33,56.9
13767.52,55.2
14521.9,54.1
15317.62,52.7
16156.94,51.1
17042.24,49.6
17976.06,48.3
18961.04,47
20000,45.8
