# default s1 SPL
freq,value
35,87.8
36.92,88.2
38.94,88.5
41.07,88.9
43.33,89.2
45.7,89.6
48.2,89.9
50.84,90.2
53.63,90.5
56.57,90.8
59.67,91.1
62.94,91.4
66.39,91.7
70.02,91.9
73.86,92.2
77.91,92.4
82.18,92.6
86.68,92.8
91.43,93
96.44,93.1
101.72,93.3
107.3,93.5
113.18,93.6
119.38,93.7
125.92,93.8
132.82,94
140.1,94.1
147.77,94.2
155.87,94.3
164.41,94.4
173.42,94.6
182.92,94.7
192.95,94.9
203.52,95
214.67,95.2
226.43,95.4
238.84,95.7
251.93,95.9
265.73,96.2
280.29,96.4
295.65,96.7
311.85,97
328.94,97.2
346.96,97.4
365.97,97.6
386.03,97.6
407.18,97.6
429.49,97.5
453.02,97.3
477.85,97.1
504.03,96.9
531.65,96.8
560.78,96.7
591.51,96.8
623.92,97
658.1,97.4
694.16,97.8
732.2,98.2
772.32,99.1
814.64,99
859.28,98.7
906.36,98.4
956.02,98.3
1008.41,98.7
1063.66,99.5
1121.95,100.2
1183.42,100.5
1248.27,100.4
1316.66,100.2
1388.81,100.7
1464.91,101.5
1545.18,101.7
1629.84,100.6
1719.15,99.1
1813.35,98.5
1912.71,98.2
2017.52,96.8
2128.06,95.2
2244.67,94.9
2367.66,94
2497.4,92
2634.24,91.6
2778.58,90.4
2930.83,88.5
3091.43,88.1
3260.82,85.9
3439.49,85.3
3627.96,83.3
3826.75,82.6
4036.43,80.5
4257.6,79.9
4490.9,77.7
4736.97,76.8
4996.53,75.6
5270.31,73.6
5559.09,72.4
5863.7,71.5
6185,70.1
6523.9,68.5
6881.37,66.9
7258.43,65.5
7656.15,64.2
8075.66,62.9
8518.16,61.7
8984.91,60.2
9477.23,58.4
9996.53,57.2
10544.28,56
11122.05,54.3
11731.47,53.2
12374.29,51.8
13052.33,50.1
13767.52,48.7
14521.9,47.4
15317.62,46
16156.94,44.6
17042.24,43.5
17976.06,42
18961.04,40.6
20000,39
