# default klp SPL
freq,value
35,88.5
36.92,89.1
38.94,89.4
41.07,89.6
43.33,89.9
45.7,90.1
48.2,90.3
50.84,90.3
53.63,90.4
56.57,90.7
59.67,90.8
62.94,90.8
66.39,91.2
70.02,91.3
73.86,91.5
77.91,91.3
82.18,91.6
86.68,91.8
91.43,91.8
96.44,92.3
101.72,92.6
107.3,92.5
113.18,92.9
119.38,92.7
125.92,93.3
132.82,93.1
140.1,93.5
147.77,93.9
155.87,93.7
164.41,94.2
173.42,94.3
182.92,94.6
192.95,94.7
203.52,95
214.67,95.5
226.43,95.7
238.84,95.7
251.93,95.7
265.73,96
280.29,96.4
295.65,96.7
311.85,96.9
328.94,96.5
346.96,97
365.97,96.6
386.03,96.6
407.18,96
429.49,96
453.02,95.6
477.85,95.6
504.03,95.9
531.65,95.9
560.78,96.3
591.51,96.6
623.92,97.1
658.1,97.2
694.16,97.7
732.2,97.3
772.32,97.7
814.64,97.5
859.28,97.2
906.36,97.5
956.02,97.6
1008.41,98.6
1063.66,99
1121.95,99.3
1183.42,99.2
1248.27,98.6
1316.66,99.4
1388.81,100
1464.91,101.2
1545.18,100.5
1629.84,98.9
1719.15,98.4
1813.35,98.3
1912.71,97.1
2017.52,95.1
2128.06,94.7
2244.67,94.4
2367.66,92.5
2497.4,91.1
2634.24,91.2
2778.58,88.9
2930.83,87.8
3091.43,87
3260.82,84.9
3439.49,84.8
3627.96,82.1
3826.75,82.1
4036.43,79.4
4257.6,79.1
4490.9,77.2
4736.97,75.4
4996.53,74.7
5270.31,73
5559.09,71
5863.7,70
6185,69.4
6523.9,68.3
6881.37,66.5
7258.43,65.3
7656.15,63.9
8075.66,62.5
8518.16,60.9
8984.91,59.4
9477.23,57.6
9996.53,57
10544.28,54.7
11122.05,53.7
11731.47,52.3
12374.29,51.2
13052.33,49.2
13767.52,47.6
14521.9,46.4
15317.62,45.3
16156.94,44
17042.24,42.9
17976.06,40.9
18961.04,39.8
20000,38.5
