# default s1 SPL
freq,value
35,86.8
36.92,87.2
38.94,87.6
41.07,88
43.33,88.4
45.7,88.7
48.2,89.1
50.84,89.4
53.63,89.7
56.57,90.1
59.67,90.4
62.94,90.7
66.39,91
70.02,91.3
73.86,91.6
77.91,91.9
82.18,92.2
86.68,92.4
91.43,92.7
96.44,93
101.72,93.2
107.3,93.5
113.18,93.7
119.38,94
125.92,94.2
132.82,94.4
140.1,94.7
147.77,94.9
155.87,95.1
164.41,95.3
173.42,95.5
182.92,95.6
192.95,95.8
203.52,95.9
214.67,96
226.43,96
238.84,96
251.93,96
265.73,96
280.29,95.9
295.65,95.8
311.85,95.6
328.94,95.5
346.96,95.4
365.97,95.4
386.03,95.4
407.18,95.5
429.49,95.7
453.02,95.9
477.85,96.3
504.03,96.7
531.65,97
560.78,97.3
591.51,97.4
623.92,97.3
658.1,97
694.16,96.6
732.2,96.2
772.32,96.7
814.64,96.9
859.28,97.4
906.36,98
956.02,98.5
1008.41,98.6
1063.66,98.2
1121.95,97.8
1183.42,97.8
1248.27,98.6
1316.66,99.6
1388.81,100
1464.91,99.4
1545.18,98.6
1629.84,98.5
1719.15,98.6
1813.35,97.6
1912.71,95.9
2017.52,95.3
2128.06,95.3
2244.67,93.6
2367.66,92.1
2497.4,92.1
2634.24,90.4
2778.58,88.9
2930.83,88.6
3091.43,86.2
3260.82,85.8
3439.49,83.8
3627.96,83
3826.75,81.2
4036.43,80.4
4257.6,78.2
4490.9,77.8
4736.97,75.7
4996.53,74.3
5270.31,73.6
5559.09,71.8
5863.7,70
6185,68.6
6523.9,67.5
6881.37,66.3
7258.43,65
7656.15,63.6
8075.66,62
8518.16,60.3
8984.91,58.9
9477.23,58
9996.53,56.6
10544.28,54.8
11122.05,53.9
11731.47,52.1
12374.29,50.8
13052.33,49.8
13767.52,48.3
14521.9,46.8
15317.62,45.5
16156.94,44.2
17042.24,42.5
17976.06,41.1
18961.04,39.8
20000,38.5
