# default s1 SPL
freq,value
35,86.2
36.92,86.6
38.94,87
41.07,87.5
43.33,87.9
45.7,88.3
48.2,88.7
50.84,89.1
53.63,89.5
56.57,89.9
59.67,90.3
62.94,90.7
66.39,91.1
70.02,91.5
73.86,91.8
77.91,92.2
82.18,92.5
86.68,92.8
91.43,93.1
96.44,93.4
101.72,93.7
107.3,94
113.18,94.3
119.38,94.5
125.92,94.8
132.82,95
140.1,95.2
147.77,95.4
155.87,95.6
164.41,95.8
173.42,96
182.92,96.2
192.95,96.4
203.52,96.6
214.67,96.8
226.43,97
238.84,97.2
251.93,97.5
265.73,97.8
280.29,98
295.65,98.3
311.85,98.6
328.94,99
346.96,99.2
365.97,99.5
386.03,99.7
407.18,99.9
429.49,99.9
453.02,99.9
477.85,99.8
504.03,99.7
531.65,99.5
560.78,99.3
591.51,99.3
623.92,99.4
658.1,99.6
694.16,99.9
732.2,100.3
772.32,101.4
814.64,101.5
859.28,101.4
906.36,101.1
956.02,100.9
1008.41,101
1063.66,101.5
1121.95,102.3
1183.42,102.8
1248.27,102.9
1316.66,102.7
1388.81,102.8
1464.91,103.4
1545.18,103.8
1629.84,103.1
1719.15,101.6
1813.35,100.7
1912.71,100.4
2017.52,99.5
2128.06,97.8
2244.67,97.1
2367.66,96.6
2497.4,94.8
2634.24,93.8
2778.58,93.1
2930.83,91
3091.43,90.5
3260.82,88.7
3439.49,87.6
3627.96,86.1
3826.75,84.9
4036.43,83.3
4257.6,82.4
4490.9,80.3
4736.97,79.6
4996.53,78
5270.31,76.2
5559.09,75.2
5863.7,74.1
6185,72.5
6523.9,70.9
6881.37,69.4
7258.43,68
7656.15,66.6
8075.66,65.3
8518.16,64.2
8984.91,62.9
9477.23,61.1
9996.53,59.7
10544.28,58.7
11122.05,56.8
11731.47,55.8
12374.29,54.3
13052.33,52.7
13767.52,51.4
14521.9,50.1
15317.62,48.6
16156.94,47.2
17042.24,46
17976.06,44.6
18961.04,43.1
20000,41.7
