# alt-18s rew SPL
freq,value
35,90.7
36.92,91.1
38.94,91.3
41.07,91.7
43.33,92
45.7,92.6
48.2,92.6
50.84,93.2
53.63,93.4
56.57,93.7
59.67,94.2
62.94,94.5
66.39,94.8
70.02,95.1
73.86,95.3
77.91,95.7
82.18,96
86.68,96.3
91.43,96.3
96.44,96.7
101.72,96.9
107.3,97.2
113.18,97.6
119.38,98.2
125.92,98.4
132.82,99
140.1,99
147.77,99.8
155.87,99.6
164.41,100.2
173.42,100.3
182.92,100.9
192.95,101.2
203.52,101.2
214.67,101.3
226.43,101.2
238.84,101.2
251.93,101.2
265.73,101.1
280.29,101.1
295.65,100.9
311.85,100.8
328.94,100.6
346.96,100.5
365.97,100.7
386.03,101.2
407.18,101.4
429.49,101.6
453.02,102
477.85,102.4
504.03,103.1
531.65,103.3
560.78,102.9
591.51,102.7
623.92,103
658.1,102.5
694.16,102.4
732.2,103.3
772.32,103.9
814.64,104.5
859.28,105
906.36,104.7
956.02,103.8
1008.41,104.4
1063.66,105.1
1121.95,106.6
1183.42,106.6
1248.27,105.1
1316.66,104
1388.81,104.2
1464.91,103.6
1545.18,102.3
1629.84,100.2
1719.15,100.5
1813.35,100.1
1912.71,97.4
2017.52,97
2128.06,96.5
2244.67,94
2367.66,94
2497.4,92.2
2634.24,90.3
2778.58,90
2930.83,87.5
3091.43,87.3
3260.82,85
3439.49,84.5
3627.96,83
3826.75,80.6
4036.43,80.3
4257.6,78.7
4490.9,76.6
4736.97,75.7
4996.53,75
5270.31,73.4
5559.09,72.1
5863.7,70.2
6185,69.2
6523.9,67.9
6881.37,66.3
7258.43,64.9
7656.15,62.5
8075.66,61.9
8518.16,60.7
8984.91,58.6
9477.23,57.9
9996.53,56.6
10544.28,54.4
11122.05,53.3
11731.47,52.2
12374.29,50.5
13052.33,48.9
13767.52,47.9
14521.9,46.9
15317.62,45
16156.94,43.4
17042.24,42.3
17976.06,40.9
18961.04,39.7
20000,38.3
