# alt-18s hr SPL
freq,value
35,85
36.92,85.9
38.94,86.7
41.07,87.6
43.33,88.4
45.7,89.2
48.2,90.1
50.84,90.8
53.63,91.6
56.57,92.3
59.67,93
62.94,93.5
66.39,94
70.02,94.3
73.86,94.5
77.91,94.8
82.18,95.3
86.68,96.1
91.43,96.9
96.44,97.6
101.72,98.1
107.3,98.4
113.18,98.6
119.38,98.8
125.92,99
132.82,99.1
140.1,99.3
147.77,99.4
155.87,99.5
164.41,99.6
173.42,99.7
182.92,99.9
192.95,100
203.52,100.1
214.67,100.2
226.43,100.3
238.84,100.5
251.93,100.9
265.73,101.3
280.29,101.7
295.65,102.2
311.85,102.6
328.94,102.8
346.96,102.9
365.97,102.9
386.03,102.9
407.18,102.9
429.49,103
453.02,103
477.85,102.9
504.03,102.4
531.65,101.9
560.78,101.5
591.51,101.4
623.92,101.6
658.1,101.8
694.16,101.9
732.2,102.5
772.32,103.3
814.64,103.7
859.28,103.6
906.36,104.1
956.02,103.8
1008.41,103
1063.66,102.8
1121.95,103.3
1183.42,103.9
1248.27,105.1
1316.66,105.5
1388.81,105.2
1464.91,104.7
1545.18,104.6
1629.84,105.7
1719.15,107
1813.35,106.8
1912.71,105.4
2017.52,104.2
2128.06,104.3
2244.67,104
2367.66,101.8
2497.4,100.5
2634.24,100.8
2778.58,99.3
2930.83,97.3
3091.43,97.5
3260.82,95.6
3439.49,94.1
3627.96,93.9
3826.75,91.3
4036.43,91.3
4257.6,88.6
4490.9,88.6
4736.97,85.9
4996.53,85.7
5270.31,83.5
5559.09,82.3
5863.7,81.6
6185,79.3
6523.9,77.8
6881.37,77.1
7258.43,75.9
7656.15,74.4
8075.66,72.7
8518.16,71.2
8984.91,69.9
9477.23,68.7
9996.53,67.5
10544.28,65.9
11122.05,64
11731.47,62.9
12374.29,61.7
13052.33,59.9
13767.52,58.8
14521.9,57.6
15317.62,55.7
16156.94,54.3
17042.24,53
17976.06,51.6
18961.04,50.2
20000,49.1
