# default rew SPL
freq,value
35,79.8
36.92,80.6
38.94,81.8
41.07,82.6
43.33,83.6
45.7,84.4
48.2,85.2
50.84,86.3
53.63,87.4
56.57,88.1
59.67,88.7
62.94,89.7
66.39,90.9
70.02,91.6
73.86,92.5
77.91,92.8
82.18,93.7
86.68,94.6
91.43,94.8
96.44,95.5
101.72,96.1
107.3,96.2
113.18,97.1
119.38,97.5
125.92,98.5
132.82,99.6
140.1,99.9
147.77,100.6
155.87,101.2
164.41,101.2
173.42,101.7
182.92,101.7
192.95,102.3
203.52,102.1
214.67,102.3
226.43,102.6
238.84,102.3
251.93,102.2
265.73,102.1
280.29,101.9
295.65,101.9
311.85,102.4
328.94,102.2
346.96,102.3
365.97,102.8
386.03,102.8
407.18,103.1
429.49,103.7
453.02,103.8
477.85,103.8
504.03,103.9
531.65,104.2
560.78,104.7
591.51,104.8
623.92,104.7
658.1,104.4
694.16,103.8
732.2,103.3
772.32,103.5
814.64,103.5
859.28,103.6
906.36,104.4
956.02,104.6
1008.41,104.8
1063.66,105.3
1121.95,104.7
1183.42,104.2
1248.27,103.8
1316.66,104
1388.81,104.6
1464.91,105.3
1545.18,105.2
1629.84,104
1719.15,103.7
1813.35,104.4
1912.71,105.2
2017.52,104.9
2128.06,104.2
2244.67,104.1
2367.66,105.3
2497.4,104.6
2634.24,104.1
2778.58,104.7
2930.83,104.9
3091.43,103.9
3260.82,105.2
3439.49,104.2
3627.96,104.1
3826.75,105
4036.43,103.9
4257.6,105.2
4490.9,104.2
4736.97,105.1
4996.53,104.4
5270.31,104.4
5559.09,104.6
5863.7,104.1
6185,104.6
6523.9,104.6
6881.37,104.5
7258.43,104.2
7656.15,104.3
8075.66,104.4
8518.16,104.2
8984.91,104.3
9477.23,104.3
9996.53,104.3
10544.28,104.6
11122.05,104.5
11731.47,104.2
12374.29,104.6
13052.33,104.6
13767.52,104.2
14521.9,103.7
15317.62,104.3
16156.94,103.9
17042.24,103.5
17976.06,103.2
18961.04,102.7
20000,101.5
