# default s1 SPL 4x
freq,value
35,101.6
36.92,102.4
38.94,103.1
41.07,103.7
43.33,104.3
45.7,104.7
48.2,105.1
50.84,105.3
53.63,105.4
56.57,105.6
59.67,105.9
62.94,106.4
66.39,107
70.02,107.6
73.86,107.9
77.91,108.1
82.18,108.2
86.68,108.2
91.43,108.1
96.44,108.1
101.72,108
107.3,107.9
113.18,107.7
119.38,107.6
125.92,107.5
132.82,107.3
140.1,107.2
147.77,107.4
155.87,107.2
164.41,107
173.42,106.7
182.92,106.4
192.95,106.1
203.52,106
214.67,106
226.43,106.1
238.84,106.3
251.93,106.5
265.73,106.6
280.29,106.5
295.65,106.4
311.85,106.4
328.94,106.5
346.96,106.8
365.97,107.2
386.03,107.5
407.18,107.4
429.49,107.2
453.02,107.3
477.85,107.5
504.03,107.5
531.65,107.1
560.78,106.7
591.51,106.7
623.92,106.6
658.1,106.2
694.16,106.3
732.2,106.8
772.32,106.8
814.64,107.2
859.28,107.7
906.36,107.5
956.02,107.7
1008.41,107.1
1063.66,106.8
1121.95,106.5
1183.42,106.8
1248.27,107
1316.66,107.7
1388.81,107.6
1464.91,107.2
1545.18,106.8
1629.84,106.7
1719.15,107.2
1813.35,107.7
1912.71,107.4
2017.52,106.8
2128.06,107.1
2244.67,107.7
2367.66,107.4
2497.4,106.8
2634.24,107.3
2778.58,107.5
2930.83,106.8
3091.43,107.3
3260.82,107.5
3439.49,106.8
3627.96,107.7
3826.75,106.9
4036.43,107.4
4257.6,107
4490.9,107.4
4736.97,106.9
4996.53,107.5
5270.31,106.9
5559.09,107.4
5863.7,107.4
6185,106.9
6523.9,107.2
6881.37,107.5
7258.43,107.5
7656.15,107.2
8075.66,107.1
8518.16,107
8984.91,107.1
9477.23,107.2
9996.53,107.3
10544.28,107.4
11122.05,107.1
11731.47,107
12374.29,107.4
13052.33,106.9
13767.52,107.2
14521.9,106.9
15317.62,106.6
16156.94,106.4
17042.24,106.2
17976.06,105.7
18961.04,104.9
20000,104.2
