# default s1 phase
freq,value
35,55.2
36.92,58.3
38.94,61.5
41.07,64.9
43.33,68.6
45.7,72.4
48.2,76.4
50.84,76.9
53.63,76.1
56.57,75.3
59.67,74.4
62.94,73.5
66.39,72.5
70.02,71.5
73.86,70.4
77.91,69.3
82.18,68.1
86.68,66.9
91.43,65.6
96.44,64.2
101.72,62.5
107.3,60.7
113.18,58.8
119.38,56.8
125.92,53.7
132.82,49.8
140.1,45.6
147.77,41.7
155.87,39.6
164.41,37.4
173.42,35.2
182.92,33
192.95,30.7
203.52,29.4
214.67,28.3
226.43,27.2
238.84,26
251.93,24.7
265.73,23.4
280.29,22.1
295.65,21.1
311.85,21.2
328.94,21.2
346.96,21.1
365.97,21
386.03,19.5
407.18,17.2
429.49,14
453.02,10.5
477.85,7.2
504.03,4.5
531.65,2.4
560.78,0.6
591.51,-1.8
623.92,-4.2
658.1,-5.7
694.16,-5
732.2,-3
772.32,-1.6
814.64,-2.1
859.28,-2.9
906.36,-5.4
956.02,-10.8
1008.41,-16.6
1063.66,-20.7
1121.95,-21.2
1183.42,-20.7
1248.27,-21
1316.66,-22.9
1388.81,-28.9
1464.91,-36.7
1545.18,-41.9
1629.84,-45.3
1719.15,-49.3
1813.35,-58.9
1912.71,-71.9
2017.52,-81
2128.06,-84.7
2244.67,-89.5
2367.66,-98.8
2497.4,-104.7
2634.24,-105.8
2778.58,-112
2930.83,-118.4
3091.43,-119.8
3260.82,-125
3439.49,-128.2
3627.96,-129.4
3826.75,-132.6
4036.43,-133.1
4257.6,-134.5
4490.9,-135.5
4736.97,-134.6
4996.53,-135
5270.31,-133
5559.09,-131.3
5863.7,-131.1
6185,-126.4
6523.9,-122.4
6881.37,-120.8
7258.43,-117.7
7656.15,-112.2
8075.66,-105.3
8518.16,-97.9
8984.91,-89.5
9477.23,-80
9996.53,-69.8
10544.28,-59.5
11122.05,-47.5
11731.47,-29.5
12374.29,-6.4
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
