# default rew SPL
freq,value
35,88.9
36.92,89.5
38.94,90
41.07,90.9
43.33,91.5
45.7,92.2
48.2,92.6
50.84,92.7
53.63,92.7
56.57,93.2
59.67,93.6
62.94,94.1
66.39,95.1
70.02,95.8
73.86,96.7
77.91,96.9
82.18,97
86.68,97.4
91.43,97.4
96.44,97.7
101.72,97.7
107.3,98.1
113.18,98.3
119.38,98.1
125.92,98.3
132.82,98.3
140.1,98.7
147.77,98.4
155.87,98
164.41,98
173.42,98
182.92,98.2
192.95,98.1
203.52,98.2
214.67,98.7
226.43,98.2
238.84,98.4
251.93,97.9
265.73,97.8
280.29,97.6
295.65,97.5
311.85,97.2
328.94,97.5
346.96,97.8
365.97,97.7
386.03,97.6
407.18,97.4
429.49,98.3
453.02,99.1
477.85,99.5
504.03,99.2
531.65,99.5
560.78,100
591.51,100.1
623.92,99.9
658.1,99.3
694.16,99.6
732.2,98.7
772.32,98.5
814.64,98.5
859.28,98.3
906.36,99.7
956.02,100.6
1008.41,101
1063.66,101
1121.95,100.5
1183.42,100.2
1248.27,99.6
1316.66,99.6
1388.81,100.9
1464.91,101.9
1545.18,101.8
1629.84,101.2
1719.15,100.9
1813.35,101.3
1912.71,101.7
2017.52,101
2128.06,99.1
2244.67,98.8
2367.66,98.9
2497.4,97.7
2634.24,95.7
2778.58,96.1
2930.83,95.1
3091.43,92.6
3260.82,92.7
3439.49,91.3
3627.96,89.2
3826.75,89.2
4036.43,86.2
4257.6,86.7
4490.9,83.6
4736.97,83.8
4996.53,81.4
5270.31,80.4
5559.09,79.5
5863.7,76.8
6185,76.6
6523.9,75.3
6881.37,73.5
7258.43,71.8
7656.15,70
8075.66,68.8
8518.16,67.7
8984.91,66.5
9477.23,64.8
9996.53,63.2
10544.28,62.1
11122.05,61.4
11731.47,59.3
12374.29,58.1
13052.33,56.7
13767.52,55.8
14521.9,53.5
15317.62,52.8
16156.94,51.8
17042.24,49.9
17976.06,48.5
18961.04,47.1
20000,45.7
