# default s1 SPL
freq,value
35,87.6
36.92,88.4
38.94,89.2
41.07,90
43.33,90.7
45.7,91.4
48.2,91.9
50.84,92.3
53.63,92.6
56.57,92.9
59.67,93.4
62.94,94.2
66.39,95
70.02,95.8
73.86,96.4
77.91,96.8
82.18,97.1
86.68,97.4
91.43,97.6
96.44,97.8
101.72,98
107.3,98.1
113.18,98.2
119.38,98.3
125.92,98.4
132.82,98.4
140.1,98.5
147.77,98.4
155.87,98.3
164.41,98.2
173.42,98.2
182.92,98.2
192.95,98.3
203.52,98.4
214.67,98.5
226.43,98.4
238.84,98.2
251.93,97.9
265.73,97.6
280.29,97.3
295.65,97.2
311.85,97.4
328.94,97.6
346.96,97.7
365.97,97.6
386.03,97.5
407.18,97.7
429.49,98.2
453.02,98.9
477.85,99.2
504.03,99.3
531.65,99.7
560.78,100.2
591.51,100.3
623.92,99.8
658.1,99.6
694.16,99.4
732.2,98.6
772.32,98.3
814.64,98.4
859.28,98.4
906.36,99.7
956.02,100.4
1008.41,100.9
1063.66,101.1
1121.95,100.5
1183.42,100
1248.27,99.5
1316.66,99.8
1388.81,101
1464.91,101.8
1545.18,102
1629.84,101.3
1719.15,100.7
1813.35,101.2
1912.71,101.9
2017.52,101.2
2128.06,99.3
2244.67,98.6
2367.66,99
2497.4,97.7
2634.24,95.7
2778.58,95.8
2930.83,95.1
3091.43,92.6
3260.82,92.8
3439.49,91
3627.96,89.4
3826.75,89.1
4036.43,86.5
4257.6,86.5
4490.9,83.8
4736.97,83.7
4996.53,81.4
5270.31,80.4
5559.09,79.4
5863.7,77
6185,76.3
6523.9,75.4
6881.37,73.5
7258.43,71.6
7656.15,70.1
8075.66,69
8518.16,67.7
8984.91,66.2
9477.23,64.7
9996.53,63.3
10544.28,62.3
11122.05,61.3
11731.47,59.3
12374.29,58.2
13052.33,56.8
13767.52,55.5
14521.9,53.7
15317.62,52.7
16156.94,51.5
17042.24,50.1
17976.06,48.7
18961.04,47.2
20000,45.4
