# default rew SPL
freq,value
35,95.5
36.92,95.5
38.94,95.9
41.07,96.2
43.33,96.7
45.7,97.3
48.2,97.9
50.84,98.7
53.63,98.8
56.57,99.5
59.67,99.4
62.94,99.4
66.39,99.4
70.02,99.8
73.86,100.1
77.91,99.7
82.18,99.9
86.68,100.1
91.43,100.1
96.44,100
101.72,99.7
107.3,99.7
113.18,99.3
119.38,99.8
125.92,99.7
132.82,99.8
140.1,99.6
147.77,99.7
155.87,100.3
164.41,100.1
173.42,99.8
182.92,99.3
192.95,99
203.52,98.9
214.67,99.5
226.43,99.5
238.84,99.8
251.93,100
265.73,99.6
280.29,99.6
295.65,100.2
311.85,100.6
328.94,101.2
346.96,101.1
365.97,101.3
386.03,101.9
407.18,101.9
429.49,102
453.02,101.7
477.85,101.7
504.03,101.6
531.65,100.9
560.78,100.8
591.51,100.7
623.92,100.6
658.1,101.1
694.16,100.9
732.2,102.1
772.32,101.8
814.64,102.7
859.28,102
906.36,101.8
956.02,101.2
1008.41,100.7
1063.66,101.6
1121.95,102
1183.42,102.6
1248.27,102.1
1316.66,101.8
1388.81,101
1464.91,101.5
1545.18,102.2
1629.84,102.1
1719.15,101.6
1813.35,100.9
1912.71,102.3
2017.52,102.2
2128.06,101
2244.67,101.6
2367.66,102.6
2497.4,101.4
2634.24,101.5
2778.58,102.6
2930.83,101.3
3091.43,102.4
3260.82,101.5
3439.49,101.9
3627.96,102.1
3826.75,102.1
4036.43,101.8
4257.6,102.3
4490.9,101.5
4736.97,102
4996.53,101.8
5270.31,101.5
5559.09,101.9
5863.7,101.9
6185,101.8
6523.9,101.4
6881.37,101.2
7258.43,101.4
7656.15,101.8
8075.66,101.4
8518.16,101.6
8984.91,102.5
9477.23,101.6
9996.53,101.8
10544.28,102
11122.05,101.5
11731.47,101.9
12374.29,101.4
13052.33,101.3
13767.52,101.6
14521.9,101.3
15317.62,101.4
16156.94,100.9
17042.24,100.9
17976.06,100.4
18961.04,99.8
20000,98.9
