# default s1 power compression
freq,value
35,92.5
36.92,92.7
38.94,92.8
41.07,93.1
43.33,93.5
45.7,94.1
48.2,94.8
50.84,95.4
53.63,95.7
56.57,95.9
59.67,96.1
62.94,96.2
66.39,96.2
70.02,96.3
73.86,96.3
77.91,96.3
82.18,96.3
86.68,96.3
91.43,96.3
96.44,96.3
101.72,96.2
107.3,95.9
113.18,95.7
119.38,95.7
125.92,95.7
132.82,95.8
140.1,96
147.77,96.1
155.87,96.1
164.41,96
173.42,95.8
182.92,95.5
192.95,95.3
203.52,95.2
214.67,95.4
226.43,95.7
238.84,96
251.93,96
265.73,95.8
280.29,95.8
295.65,96.2
311.85,96.8
328.94,97.2
346.96,97.2
365.97,97.2
386.03,97.7
407.18,98.2
429.49,98
453.02,97.7
477.85,97.9
504.03,97.6
531.65,97
560.78,97
591.51,96.7
623.92,96.5
658.1,97
694.16,97.1
732.2,97.9
772.32,98.1
814.64,98.5
859.28,98
906.36,97.8
956.02,97
1008.41,96.9
1063.66,97.3
1121.95,97.8
1183.42,98.3
1248.27,98.3
1316.66,97.6
1388.81,97
1464.91,97.4
1545.18,98.2
1629.84,98.3
1719.15,97.4
1813.35,97.2
1912.71,98.1
2017.52,98.3
2128.06,97.3
2244.67,97.6
2367.66,98.3
2497.4,97.5
2634.24,97.5
2778.58,98.3
2930.83,97.2
3091.43,98.2
3260.82,97.6
3439.49,97.8
3627.96,97.8
3826.75,97.8
4036.43,97.6
4257.6,98.1
4490.9,97.4
4736.97,98.3
4996.53,97.8
5270.31,97.3
5559.09,98
5863.7,98.2
6185,97.9
6523.9,97.6
6881.37,97.5
7258.43,97.4
7656.15,97.5
8075.66,97.6
8518.16,97.9
8984.91,98.2
9477.23,97.8
9996.53,97.5
10544.28,98.1
11122.05,97.5
11731.47,98
12374.29,97.7
13052.33,97.4
13767.52,97.5
14521.9,97.5
15317.62,97.3
16156.94,96.9
17042.24,96.7
17976.06,96.4
18961.04,95.5
20000,94.7
