# default s1 SPL
freq,value
35,95.3
36.92,95.6
38.94,95.8
41.07,96.1
43.33,96.6
45.7,97.3
48.2,98
50.84,98.6
53.63,99
56.57,99.3
59.67,99.4
62.94,99.6
66.39,99.7
70.02,99.8
73.86,99.8
77.91,99.9
82.18,99.9
86.68,100
91.43,100
96.44,100
101.72,100
107.3,99.6
113.18,99.5
119.38,99.5
125.92,99.6
132.82,99.7
140.1,99.8
147.77,100
155.87,100
164.41,99.9
173.42,99.7
182.92,99.4
192.95,99.2
203.52,99.2
214.67,99.4
226.43,99.7
238.84,99.9
251.93,99.9
265.73,99.8
280.29,99.8
295.65,100.2
311.85,100.8
328.94,101.1
346.96,101.1
365.97,101.2
386.03,101.7
407.18,102.1
429.49,101.9
453.02,101.7
477.85,101.9
504.03,101.6
531.65,101
560.78,101
591.51,100.7
623.92,100.5
658.1,101
694.16,101.1
732.2,101.9
772.32,102
814.64,102.5
859.28,102
906.36,101.8
956.02,101
1008.41,100.9
1063.66,101.3
1121.95,101.8
1183.42,102.3
1248.27,102.3
1316.66,101.6
1388.81,101
1464.91,101.4
1545.18,102.2
1629.84,102.3
1719.15,101.4
1813.35,101.2
1912.71,102.1
2017.52,102.3
2128.06,101.3
2244.67,101.6
2367.66,102.3
2497.4,101.5
2634.24,101.5
2778.58,102.3
2930.83,101.2
3091.43,102.2
3260.82,101.6
3439.49,101.8
3627.96,101.8
3826.75,101.8
4036.43,101.6
4257.6,102.1
4490.9,101.4
4736.97,102.3
4996.53,101.8
5270.31,101.3
5559.09,102
5863.7,102.2
6185,101.9
6523.9,101.6
6881.37,101.5
7258.43,101.4
7656.15,101.5
8075.66,101.6
8518.16,101.9
8984.91,102.2
9477.23,101.8
9996.53,101.5
10544.28,102.1
11122.05,101.5
11731.47,102
12374.29,101.7
13052.33,101.4
13767.52,101.5
14521.9,101.5
15317.62,101.3
16156.94,100.9
17042.24,100.7
17976.06,100.4
18961.04,99.5
20000,98.7
