# default s1 SPL
freq,value
35,88.5
36.92,89.3
38.94,90.1
41.07,90.8
43.33,91.4
45.7,92
48.2,92.4
50.84,92.7
53.63,93
56.57,93.4
59.67,94
62.94,94.8
66.39,95.6
70.02,96.2
73.86,96.7
77.91,97
82.18,97.2
86.68,97.4
91.43,97.5
96.44,97.7
101.72,97.8
107.3,97.8
113.18,97.9
119.38,97.9
125.92,98
132.82,98
140.1,98.1
147.77,98.1
155.87,98.3
164.41,98.5
173.42,98.6
182.92,98.6
192.95,98.6
203.52,98.5
214.67,98.4
226.43,98.4
238.84,98.6
251.93,98.9
265.73,99.3
280.29,99.7
295.65,99.9
311.85,99.9
328.94,99.9
346.96,99.9
365.97,100.2
386.03,100.5
407.18,100.6
429.49,100.3
453.02,99.9
477.85,99.9
504.03,100
531.65,99.8
560.78,99.4
591.51,99.6
623.92,100.1
658.1,100.2
694.16,100.4
732.2,100.9
772.32,100.9
814.64,100.6
859.28,100.6
906.36,99.9
956.02,100
1008.41,100
1063.66,100.6
1121.95,100.8
1183.42,101
1248.27,100.4
1316.66,100.2
1388.81,100.1
1464.91,100.6
1545.18,101.1
1629.84,100.7
1719.15,100
1813.35,100.3
1912.71,100.9
2017.52,100.6
2128.06,100.1
2244.67,100.7
2367.66,100.8
2497.4,100.1
2634.24,100.7
2778.58,100.8
2930.83,100.2
3091.43,101
3260.82,100.2
3439.49,100.9
3627.96,100.3
3826.75,100.8
4036.43,100.3
4257.6,101
4490.9,100.3
4736.97,100.7
4996.53,100.8
5270.31,100.3
5559.09,100.4
5863.7,100.8
6185,100.9
6523.9,100.7
6881.37,100.5
7258.43,100.5
7656.15,100.6
8075.66,100.7
8518.16,100.8
8984.91,100.8
9477.23,100.4
9996.53,100.6
10544.28,100.7
11122.05,100.4
11731.47,100.6
12374.29,100.6
13052.33,100.3
13767.52,100.2
14521.9,100.2
15317.62,100
16156.94,99.7
17042.24,99.6
17976.06,99.1
18961.04,98.4
20000,97.5
